<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Телеграф-п;60;20170124;100000;6.36;6.36;6.36;6.36;1;0
Телеграф-п;60;20170124;130000;6.36;6.36;6.2;6.2;65;0
Телеграф-п;60;20170124;140000;6.2;6.2;6;6.08;686;0
Телеграф-п;60;20170124;150000;6.08;6.08;6.05;6.05;252;0
Телеграф-п;60;20170124;160000;6.1;6.13;5.97;6.05;389;0
Телеграф-п;60;20170124;170000;6.05;6.15;6.05;6.15;67;0
Телеграф-п;60;20170124;180000;6.09;6.09;6.08;6.08;25;0
Телеграф-п;60;20170125;130000;6.14;6.16;6.14;6.16;3;0
Телеграф-п;60;20170125;160000;6.15;6.15;6.15;6.15;1;0
Телеграф-п;60;20170125;170000;6.14;6.14;6.14;6.14;4;0
Телеграф-п;60;20170126;120000;6.15;6.15;6.15;6.15;2;0
Телеграф-п;60;20170126;170000;6.12;6.12;6.1;6.1;18;0
Телеграф-п;60;20170126;180000;6.08;6.08;6.08;6.08;1;0
Телеграф-п;60;20170127;140000;6.1;6.1;6.1;6.1;190;0
Телеграф-п;60;20170130;140000;6.08;6.08;6.08;6.08;1;0
Телеграф-п;60;20170130;160000;6.13;6.13;6.13;6.13;1;0
Телеграф-п;60;20170130;180000;6.1;6.15;6.1;6.15;5;0
Телеграф-п;60;20170131;090000;6.09;6.09;6.09;6.09;8;0
Телеграф-п;60;20170131;100000;6.15;6.15;6.15;6.15;10;0
Телеграф-п;60;20170131;120000;6.15;6.15;6.15;6.15;1;0
Телеграф-п;60;20170131;130000;6.11;6.11;5.9;6.01;767;0
Телеграф-п;60;20170131;140000;6.02;6.05;6.02;6.05;6;0
Телеграф-п;60;20170131;160000;6.05;6.05;6.05;6.05;64;0
Телеграф-п;60;20170131;170000;6.06;6.07;6.06;6.07;4;0
Телеграф-п;60;20170131;180000;6.07;6.07;6.07;6.07;8;0
Телеграф-п;60;20170201;110000;6.08;6.08;6.08;6.08;1;0
Телеграф-п;60;20170201;160000;6.02;6.02;6.02;6.02;1;0
Телеграф-п;60;20170202;110000;6.08;6.1;6.08;6.1;10;0
Телеграф-п;60;20170202;120000;6.03;6.03;6.02;6.02;4;0
Телеграф-п;60;20170202;130000;6.08;6.14;6.08;6.14;58;0
Телеграф-п;60;20170202;150000;6.08;6.2;6.08;6.2;228;0
Телеграф-п;60;20170202;160000;6.2;6.7;6.2;6.34;407;0
Телеграф-п;60;20170202;170000;6.35;6.35;6.34;6.35;40;0
Телеграф-п;60;20170202;180000;6.35;6.39;6.2;6.39;186;0
Телеграф-п;60;20170203;100000;6.3;6.41;6.3;6.41;25;0
Телеграф-п;60;20170203;110000;6.4;6.4;6.4;6.4;313;0
Телеграф-п;60;20170203;130000;6.4;6.4;6.4;6.4;1;0
Телеграф-п;60;20170203;170000;6.38;6.41;6.38;6.41;329;0
Телеграф-п;60;20170203;180000;6.39;6.4;6.39;6.4;88;0
Телеграф-п;60;20170206;100000;6.42;6.43;6.4;6.4;314;0
Телеграф-п;60;20170206;130000;6.4;6.4;6.4;6.4;5;0
Телеграф-п;60;20170206;140000;6.39;6.4;6.39;6.4;222;0
Телеграф-п;60;20170206;150000;6.4;6.41;6.4;6.4;122;0
Телеграф-п;60;20170206;160000;6.4;6.41;6.4;6.41;200;0
Телеграф-п;60;20170206;170000;6.41;6.41;6.4;6.4;103;0
Телеграф-п;60;20170206;180000;6.41;6.43;6.4;6.43;64;0
Телеграф-п;60;20170207;140000;6.4;6.4;6.4;6.4;24;0
Телеграф-п;60;20170207;150000;6.4;6.4;6.4;6.4;1;0
Телеграф-п;60;20170208;100000;6.41;6.42;6.41;6.42;20;0
Телеграф-п;60;20170208;110000;6.4;6.4;6.4;6.4;1;0
Телеграф-п;60;20170208;120000;6.42;6.42;6.42;6.42;2;0
Телеграф-п;60;20170208;150000;6.4;6.4;6.4;6.4;2;0
Телеграф-п;60;20170208;160000;6.4;6.4;6.4;6.4;1;0
Телеграф-п;60;20170208;170000;6.4;6.4;6.4;6.4;10;0
Телеграф-п;60;20170209;120000;6.42;6.42;6.42;6.42;3;0
Телеграф-п;60;20170209;130000;6.4;6.4;6.4;6.4;136;0
Телеграф-п;60;20170209;140000;6.36;6.36;6.3;6.3;24;0
Телеграф-п;60;20170209;160000;6.41;6.42;6.41;6.42;2;0
Телеграф-п;60;20170209;180000;6.41;6.45;6.41;6.45;27;0
Телеграф-п;60;20170210;130000;6.43;6.43;6.43;6.43;3;0
Телеграф-п;60;20170210;160000;6.41;6.41;6.41;6.41;4;0
Телеграф-п;60;20170210;180000;6.45;6.5;6.45;6.5;500;0
Телеграф-п;60;20170213;100000;6.42;6.42;6.25;6.4;11;0
Телеграф-п;60;20170213;110000;6.47;6.48;6.47;6.48;2;0
Телеграф-п;60;20170213;170000;6.49;6.5;6.49;6.5;505;0
Телеграф-п;60;20170213;180000;6.5;6.5;6.5;6.5;1;0
Телеграф-п;60;20170214;120000;6.5;6.5;6.43;6.43;51;0
Телеграф-п;60;20170214;160000;6.42;6.42;6.42;6.42;1;0
Телеграф-п;60;20170214;170000;6.41;6.41;6.41;6.41;1;0
Телеграф-п;60;20170214;180000;6.4;6.4;6.37;6.37;4;0
Телеграф-п;60;20170215;110000;6.36;6.36;6.29;6.29;39;0
Телеграф-п;60;20170215;120000;6.28;6.28;6.12;6.12;74;0
Телеграф-п;60;20170215;130000;6.11;6.25;6.11;6.25;12;0
Телеграф-п;60;20170215;140000;6.26;6.27;6.26;6.27;2;0
Телеграф-п;60;20170215;160000;6.28;6.29;6.28;6.29;5;0
Телеграф-п;60;20170215;170000;6.3;6.3;6.29;6.29;5;0
Телеграф-п;60;20170216;100000;6.31;6.32;6.23;6.3;15;0
Телеграф-п;60;20170216;110000;6.31;6.31;6.31;6.31;200;0
Телеграф-п;60;20170216;120000;6.25;6.32;6.22;6.32;22;0
Телеграф-п;60;20170216;140000;6.25;6.25;6.21;6.23;15;0
Телеграф-п;60;20170216;180000;6.3;6.33;6.3;6.33;4;0
Телеграф-п;60;20170217;100000;6.31;6.31;6.31;6.31;8;0
Телеграф-п;60;20170217;110000;6.26;6.26;6.26;6.26;2;0
Телеграф-п;60;20170220;100000;6.33;6.5;6.33;6.5;70;0
Телеграф-п;60;20170220;110000;6.45;6.45;6.45;6.45;5;0
