<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Телеграф;60;20170130;180000;24.6;24.6;24.6;24.6;1;0
Телеграф;60;20170201;170000;24.5;24.5;24.5;24.5;1;0
Телеграф;60;20170202;130000;24.8;24.9;24.8;24.9;2;0
Телеграф;60;20170203;100000;24.6;24.6;24.4;24.4;3;0
Телеграф;60;20170203;110000;24.7;24.8;24.7;24.8;2;0
Телеграф;60;20170207;180000;24.5;24.5;24.5;24.5;1;0
Телеграф;60;20170209;110000;24.8;24.8;24.8;24.8;1;0
Телеграф;60;20170209;130000;24.4;24.4;24.4;24.4;1;0
Телеграф;60;20170214;110000;24.4;24.4;24;24;5;0
Телеграф;60;20170216;110000;23.9;23.9;23.9;23.9;1;0
Телеграф;60;20170217;130000;23.8;23.8;23.1;23.1;9;0
Телеграф;60;20170220;130000;23.1;23.1;23;23;5;0
Телеграф;60;20170221;100000;23;23;23;23;1;0
Телеграф;60;20170221;120000;22.9;22.9;22.8;22.8;3;0
Телеграф;60;20170221;180000;23;23.1;23;23.1;2;0
Телеграф;60;20170222;120000;22.8;22.8;22.5;22.5;5;0
Телеграф;60;20170222;130000;22.6;23;22.6;23;4;0
Телеграф;60;20170222;160000;22.7;22.7;22.7;22.7;4;0
Телеграф;60;20170224;140000;22.6;22.6;22.6;22.6;1;0
Телеграф;60;20170224;160000;22.5;22.5;22.1;22.1;10;0
Телеграф;60;20170224;170000;22.3;22.3;22.1;22.1;7;0
Телеграф;60;20170224;180000;22.1;22.1;18;19.3;153;0
Телеграф;60;20170227;110000;19.5;19.5;19.4;19.4;4;0
Телеграф;60;20170227;120000;19.5;19.5;19;19;41;0
Телеграф;60;20170227;140000;19;19;18.6;18.6;2;0
Телеграф;60;20170227;150000;18.6;18.6;18.6;18.6;5;0
Телеграф;60;20170227;180000;18.6;18.6;18.6;18.6;2;0
Телеграф;60;20170228;100000;19.1;19.1;19;19;6;0
Телеграф;60;20170228;110000;19;19;19;19;5;0
Телеграф;60;20170228;170000;19.3;21.3;19.3;20.3;34;0
Телеграф;60;20170301;170000;20.8;21;20.8;21;3;0
Телеграф;60;20170302;100000;20.7;21;20.7;21;15;0
