<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТрансК ао;60;20170124;100000;3565;3570;3565;3570;10;0
ТрансК ао;60;20170124;110000;3565;3565;3565;3565;1;0
ТрансК ао;60;20170124;120000;3565;3825;3565;3760;757;0
ТрансК ао;60;20170124;130000;3765;3800;3730;3730;151;0
ТрансК ао;60;20170124;140000;3760;3775;3730;3750;48;0
ТрансК ао;60;20170124;150000;3755;3755;3715;3715;2;0
ТрансК ао;60;20170124;160000;3705;3745;3695;3745;95;0
ТрансК ао;60;20170124;170000;3715;3715;3710;3710;2;0
ТрансК ао;60;20170124;180000;3700;3700;3700;3700;2;0
ТрансК ао;60;20170125;100000;3695;3735;3695;3735;4;0
ТрансК ао;60;20170125;120000;3730;3830;3730;3830;223;0
ТрансК ао;60;20170125;130000;3790;3790;3790;3790;1;0
ТрансК ао;60;20170125;150000;3770;3770;3740;3740;13;0
ТрансК ао;60;20170125;160000;3750;3750;3750;3750;1;0
ТрансК ао;60;20170125;170000;3790;3790;3790;3790;1;0
ТрансК ао;60;20170126;100000;3795;3795;3790;3790;6;0
ТрансК ао;60;20170126;110000;3790;3790;3790;3790;1;0
ТрансК ао;60;20170126;120000;3765;3765;3760;3760;55;0
ТрансК ао;60;20170126;150000;3740;3790;3740;3790;12;0
ТрансК ао;60;20170126;170000;3750;3750;3745;3745;14;0
ТрансК ао;60;20170126;180000;3735;3735;3735;3735;1;0
ТрансК ао;60;20170127;110000;3740;3740;3740;3740;1;0
ТрансК ао;60;20170127;130000;3745;3745;3745;3745;100;0
ТрансК ао;60;20170127;140000;3745;3745;3745;3745;3;0
ТрансК ао;60;20170127;160000;3745;3745;3745;3745;2;0
ТрансК ао;60;20170130;100000;3750;3750;3750;3750;1;0
ТрансК ао;60;20170130;110000;3710;3715;3705;3705;15;0
ТрансК ао;60;20170130;140000;3735;3740;3735;3740;2;0
ТрансК ао;60;20170130;150000;3750;3750;3750;3750;3;0
ТрансК ао;60;20170130;180000;3745;3745;3745;3745;1;0
ТрансК ао;60;20170131;100000;3705;3705;3690;3690;61;0
ТрансК ао;60;20170131;120000;3690;3720;3685;3720;10;0
ТрансК ао;60;20170131;140000;3715;3725;3715;3725;4;0
ТрансК ао;60;20170131;170000;3695;3695;3690;3690;3;0
ТрансК ао;60;20170131;180000;3685;3685;3680;3680;13;0
ТрансК ао;60;20170201;100000;3675;3710;3670;3710;6;0
ТрансК ао;60;20170201;120000;3675;3675;3660;3660;55;0
ТрансК ао;60;20170201;140000;3655;3675;3645;3675;5;0
ТрансК ао;60;20170201;160000;3665;3670;3665;3670;11;0
ТрансК ао;60;20170201;170000;3670;3670;3670;3670;10;0
ТрансК ао;60;20170202;100000;3645;3645;3635;3635;14;0
ТрансК ао;60;20170202;110000;3670;3675;3670;3675;6;0
ТрансК ао;60;20170202;120000;3675;3675;3675;3675;2;0
ТрансК ао;60;20170202;130000;3680;3680;3680;3680;14;0
ТрансК ао;60;20170202;180000;3680;3680;3680;3680;1;0
ТрансК ао;60;20170203;110000;3660;3660;3660;3660;1;0
ТрансК ао;60;20170203;130000;3665;3665;3665;3665;4;0
ТрансК ао;60;20170203;180000;3640;3640;3640;3640;1;0
ТрансК ао;60;20170206;110000;3635;3650;3635;3650;3;0
ТрансК ао;60;20170206;150000;3635;3635;3635;3635;1;0
ТрансК ао;60;20170206;160000;3640;3645;3640;3645;2;0
ТрансК ао;60;20170206;180000;3645;3645;3645;3645;1;0
ТрансК ао;60;20170207;130000;3645;3650;3645;3650;2;0
ТрансК ао;60;20170207;170000;3650;3650;3650;3650;1;0
