<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Транснф ап;60;20170124;090000;195200;195200;195200;195200;1;0
Транснф ап;60;20170124;100000;195200;196200;193850;194650;361;0
Транснф ап;60;20170124;110000;194900;197500;194450;197100;231;0
Транснф ап;60;20170124;120000;197100;199350;196500;199350;244;0
Транснф ап;60;20170124;130000;199000;199350;197800;198400;136;0
Транснф ап;60;20170124;140000;198250;198800;197700;198500;98;0
Транснф ап;60;20170124;150000;198100;198650;198000;198050;51;0
Транснф ап;60;20170124;160000;198350;199300;198100;199000;132;0
Транснф ап;60;20170124;170000;199000;200600;198450;200450;282;0
Транснф ап;60;20170124;180000;200500;202600;199350;202600;738;0
Транснф ап;60;20170125;090000;202500;202500;202500;202500;1;0
Транснф ап;60;20170125;100000;202750;205050;201150;204050;359;0
Транснф ап;60;20170125;110000;204000;204450;202500;204300;229;0
Транснф ап;60;20170125;120000;204350;205000;203600;205000;280;0
Транснф ап;60;20170125;130000;205000;205250;204200;205000;73;0
Транснф ап;60;20170125;140000;204600;205500;204150;204950;114;0
Транснф ап;60;20170125;150000;204700;205500;204600;204800;83;0
Транснф ап;60;20170125;160000;204800;207450;204600;206450;383;0
Транснф ап;60;20170125;170000;206500;207900;205550;207800;350;0
Транснф ап;60;20170125;180000;207800;209850;207500;209850;458;0
Транснф ап;60;20170126;090000;210500;210500;210500;210500;4;0
Транснф ап;60;20170126;100000;211000;212650;210100;212250;392;0
Транснф ап;60;20170126;110000;212400;212400;209100;211000;362;0
Транснф ап;60;20170126;120000;210550;210800;208500;208650;239;0
Транснф ап;60;20170126;130000;208500;211150;208500;211000;227;0
Транснф ап;60;20170126;140000;210850;211200;210000;210700;178;0
Транснф ап;60;20170126;150000;210400;211900;210200;211900;493;0
Транснф ап;60;20170126;160000;211900;211900;209350;209600;256;0
Транснф ап;60;20170126;170000;209900;210500;208800;209200;195;0
Транснф ап;60;20170126;180000;209550;209700;206000;207000;409;0
Транснф ап;60;20170127;100000;207550;209550;206850;207700;117;0
Транснф ап;60;20170127;110000;207800;207800;201750;202350;443;0
Транснф ап;60;20170127;120000;202300;207700;202100;205550;301;0
Транснф ап;60;20170127;130000;205550;205900;203500;204800;125;0
Транснф ап;60;20170127;140000;204800;204800;203000;203150;163;0
Транснф ап;60;20170127;150000;203050;203450;202300;203100;110;0
Транснф ап;60;20170127;160000;203250;209000;203100;208400;479;0
Транснф ап;60;20170127;170000;208200;211850;208150;210400;1043;0
Транснф ап;60;20170127;180000;210150;211600;210150;211200;662;0
Транснф ап;60;20170130;090000;211750;211750;211750;211750;2;0
Транснф ап;60;20170130;100000;209400;211500;208100;208650;187;0
Транснф ап;60;20170130;110000;209200;211450;209200;211200;168;0
Транснф ап;60;20170130;120000;211050;212050;211000;211500;184;0
Транснф ап;60;20170130;130000;211150;211550;209450;211350;159;0
Транснф ап;60;20170130;140000;211300;211600;210500;210500;68;0
Транснф ап;60;20170130;150000;210850;211550;210850;211350;62;0
Транснф ап;60;20170130;160000;211350;212150;210550;210850;295;0
Транснф ап;60;20170130;170000;210550;211350;209650;210000;151;0
Транснф ап;60;20170130;180000;210150;211250;209800;210700;130;0
Транснф ап;60;20170131;100000;211000;211000;207700;209200;134;0
Транснф ап;60;20170131;110000;209200;209500;205000;207000;287;0
Транснф ап;60;20170131;120000;206800;208500;206500;207750;130;0
Транснф ап;60;20170131;130000;208150;208750;207700;208750;52;0
Транснф ап;60;20170131;140000;208850;208950;207150;207350;95;0
Транснф ап;60;20170131;150000;207050;207050;205500;206650;205;0
Транснф ап;60;20170131;160000;206600;208100;206050;208100;129;0
Транснф ап;60;20170131;170000;207800;208850;207350;207750;124;0
Транснф ап;60;20170131;180000;207850;208000;204250;204250;589;0
Транснф ап;60;20170201;090000;205000;205000;205000;205000;2;0
Транснф ап;60;20170201;100000;205000;205350;202950;204300;206;0
