<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
УКОРФ ао;60;20170124;140000;5.05;5.05;5.05;5.05;1;0
УКОРФ ао;60;20170125;130000;4.98;4.98;4.8;4.8;3;0
УКОРФ ао;60;20170126;130000;5.02;5.02;5.02;5.02;1;0
УКОРФ ао;60;20170126;150000;4.75;4.75;4.75;4.75;2;0
УКОРФ ао;60;20170126;180000;5.01;5.01;5.01;5.01;1;0
УКОРФ ао;60;20170127;160000;4.94;4.94;4.94;4.94;2;0
УКОРФ ао;60;20170131;120000;5.02;5.03;5.02;5.03;2;0
УКОРФ ао;60;20170131;170000;4.92;4.92;4.92;4.92;1;0
УКОРФ ао;60;20170202;130000;5.06;5.07;5.06;5.07;3;0
УКОРФ ао;60;20170203;120000;5;5;5;5;1;0
УКОРФ ао;60;20170203;150000;4.96;4.96;4.96;4.96;2;0
УКОРФ ао;60;20170203;160000;4.96;4.96;4.96;4.96;1;0
УКОРФ ао;60;20170209;150000;4.98;4.98;4.98;4.98;1;0
УКОРФ ао;60;20170209;160000;4.7;4.7;4.7;4.7;1;0
УКОРФ ао;60;20170209;170000;4.88;4.88;4.88;4.88;1;0
УКОРФ ао;60;20170209;180000;4.47;4.47;4.46;4.46;10;0
УКОРФ ао;60;20170216;170000;4.69;4.69;4.69;4.69;1;0
УКОРФ ао;60;20170217;150000;4.69;4.99;4.69;4.74;3;0
УКОРФ ао;60;20170220;180000;4.89;4.98;4.89;4.98;2;0
УКОРФ ао;60;20170224;140000;4.51;4.51;4.51;4.51;1;0
УКОРФ ао;60;20170224;180000;4.96;4.96;4.96;4.96;1;0
УКОРФ ао;60;20170228;170000;4.89;4.89;4.89;4.89;1;0
УКОРФ ао;60;20170303;130000;4.92;4.92;4.92;4.92;2;0
УКОРФ ао;60;20170306;140000;4.94;4.94;4.94;4.94;1;0
УКОРФ ао;60;20170307;130000;4.94;4.94;4.94;4.94;1;0
УКОРФ ао;60;20170309;120000;4.88;4.88;4.88;4.88;1;0
УКОРФ ао;60;20170310;160000;4.87;4.87;4.87;4.87;1;0
УКОРФ ао;60;20170314;170000;4.89;4.89;4.89;4.89;1;0
УКОРФ ао;60;20170317;160000;4.87;4.87;4.87;4.87;1;0
УКОРФ ао;60;20170320;170000;4.9;4.9;4.9;4.9;1;0
УКОРФ ао;60;20170321;150000;4.97;4.97;4.97;4.97;1;0
УКОРФ ао;60;20170322;130000;4.97;4.97;4.97;4.97;1;0
УКОРФ ао;60;20170324;140000;4.94;4.94;4.94;4.94;2;0
