<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
УрКузница;60;20170125;100000;6520;6520;6500;6500;4;0
УрКузница;60;20170125;110000;6470;6470;6020;6450;6;0
УрКузница;60;20170125;130000;6490;6490;6490;6490;1;0
УрКузница;60;20170125;140000;6430;6430;6430;6430;1;0
УрКузница;60;20170125;160000;6420;6420;6420;6420;1;0
УрКузница;60;20170125;180000;6400;6400;6400;6400;1;0
УрКузница;60;20170126;130000;6420;6420;6420;6420;1;0
УрКузница;60;20170126;140000;6410;6430;6410;6410;8;0
УрКузница;60;20170127;100000;6450;6450;6450;6450;1;0
УрКузница;60;20170130;180000;6430;6430;6370;6370;3;0
УрКузница;60;20170131;130000;6440;6440;6440;6440;5;0
УрКузница;60;20170201;100000;6480;6480;6480;6480;1;0
УрКузница;60;20170201;130000;6530;6530;6530;6530;1;0
УрКузница;60;20170201;140000;6480;6530;6480;6530;6;0
УрКузница;60;20170201;150000;6430;6430;6430;6430;1;0
УрКузница;60;20170202;100000;6540;6640;6540;6640;6;0
УрКузница;60;20170202;110000;6560;6560;6540;6540;3;0
УрКузница;60;20170202;130000;6550;6550;6500;6500;14;0
УрКузница;60;20170202;140000;6500;6500;5710;6430;46;0
УрКузница;60;20170202;160000;6450;6450;6450;6450;1;0
УрКузница;60;20170203;110000;6430;6430;6350;6350;3;0
УрКузница;60;20170203;120000;6440;6440;6440;6440;1;0
УрКузница;60;20170206;100000;6540;6540;6540;6540;2;0
УрКузница;60;20170206;110000;6550;6550;6550;6550;1;0
УрКузница;60;20170206;120000;6460;6550;6460;6550;3;0
УрКузница;60;20170206;140000;6540;6540;6540;6540;10;0
УрКузница;60;20170207;130000;6530;6530;6530;6530;1;0
УрКузница;60;20170207;150000;6530;6530;6530;6530;1;0
УрКузница;60;20170208;110000;6580;6580;6500;6500;2;0
УрКузница;60;20170208;120000;6500;6500;6500;6500;1;0
УрКузница;60;20170208;130000;6500;6500;6500;6500;13;0
УрКузница;60;20170208;150000;6470;6470;6460;6460;4;0
УрКузница;60;20170208;170000;6470;6470;6470;6470;1;0
УрКузница;60;20170210;110000;6430;6430;6390;6400;10;0
УрКузница;60;20170210;130000;6370;6370;6370;6370;2;0
УрКузница;60;20170210;150000;6370;6400;6370;6400;105;0
УрКузница;60;20170210;160000;6400;6400;6400;6400;25;0
УрКузница;60;20170210;170000;6400;6400;6400;6400;50;0
УрКузница;60;20170210;180000;6400;6400;6400;6400;15;0
УрКузница;60;20170214;110000;6400;6400;6400;6400;1;0
УрКузница;60;20170214;120000;6350;6350;6350;6350;1;0
УрКузница;60;20170214;140000;6400;6400;6400;6400;1;0
УрКузница;60;20170215;100000;6440;6440;6440;6440;1;0
УрКузница;60;20170215;130000;6400;6400;6400;6400;1;0
УрКузница;60;20170215;150000;6400;6400;6400;6400;1;0
УрКузница;60;20170216;120000;6400;6400;6400;6400;2;0
УрКузница;60;20170216;140000;6400;6400;6400;6400;3;0
УрКузница;60;20170216;160000;6400;6400;6400;6400;1;0
УрКузница;60;20170216;170000;6400;6400;6400;6400;17;0
УрКузница;60;20170217;110000;6400;6400;6250;6250;20;0
УрКузница;60;20170217;160000;6340;6340;6340;6340;2;0
УрКузница;60;20170217;180000;6260;6260;6080;6160;8;0
УрКузница;60;20170220;140000;6240;6280;6240;6280;3;0
УрКузница;60;20170220;180000;6290;6290;6290;6290;1;0
УрКузница;60;20170221;110000;6340;6400;6340;6400;6;0
УрКузница;60;20170221;120000;6310;6310;6310;6310;1;0
УрКузница;60;20170222;140000;6310;6310;6270;6270;4;0
УрКузница;60;20170222;150000;6250;6250;5900;6080;28;0
УрКузница;60;20170222;170000;6140;6140;6000;6010;13;0
УрКузница;60;20170224;100000;5970;5970;5970;5970;1;0
УрКузница;60;20170227;150000;6000;6000;5950;5950;10;0
УрКузница;60;20170228;100000;5770;5770;5200;5670;13;0
УрКузница;60;20170228;110000;5540;5670;5210;5620;17;0
УрКузница;60;20170228;150000;5630;5630;5550;5550;8;0
УрКузница;60;20170228;160000;5550;5610;5540;5610;4;0
УрКузница;60;20170301;110000;5560;5560;5560;5560;1;0
УрКузница;60;20170301;160000;5640;5680;5640;5680;3;0
УрКузница;60;20170301;170000;5680;5680;5630;5630;3;0
УрКузница;60;20170301;180000;5740;5780;5740;5780;2;0
УрКузница;60;20170302;100000;5780;5780;5780;5780;1;0
УрКузница;60;20170302;120000;5840;5840;5840;5840;1;0
УрКузница;60;20170302;180000;5850;5850;5850;5850;1;0
УрКузница;60;20170303;130000;6030;6030;6030;6030;1;0
УрКузница;60;20170303;170000;5820;5820;5820;5820;1;0
УрКузница;60;20170303;180000;5810;5810;5810;5810;1;0
УрКузница;60;20170306;170000;5800;5800;5800;5800;1;0
УрКузница;60;20170307;130000;5770;5770;5770;5770;1;0
УрКузница;60;20170307;140000;5550;5550;5550;5550;1;0
УрКузница;60;20170307;150000;5600;5600;5070;5500;17;0
УрКузница;60;20170307;160000;5770;5770;5710;5710;3;0
УрКузница;60;20170307;170000;5670;5680;5650;5680;3;0
УрКузница;60;20170307;180000;5620;5620;5620;5620;2;0
УрКузница;60;20170309;100000;5570;5570;5570;5570;1;0
