<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
УралСиб ао;60;20170124;100000;0.1397;0.1459;0.1391;0.143;1946;0
УралСиб ао;60;20170124;110000;0.1429;0.144;0.1409;0.1416;562;0
УралСиб ао;60;20170124;120000;0.1421;0.1422;0.1414;0.1418;106;0
УралСиб ао;60;20170124;130000;0.1413;0.1415;0.1408;0.1409;78;0
УралСиб ао;60;20170124;140000;0.1408;0.1435;0.1404;0.1415;165;0
УралСиб ао;60;20170124;150000;0.1415;0.1415;0.14;0.14;463;0
УралСиб ао;60;20170124;160000;0.1404;0.1428;0.1404;0.1407;220;0
УралСиб ао;60;20170124;170000;0.1415;0.1415;0.1375;0.1375;557;0
УралСиб ао;60;20170124;180000;0.138;0.14;0.1364;0.1367;314;0
УралСиб ао;60;20170125;100000;0.1362;0.137;0.132;0.132;412;0
УралСиб ао;60;20170125;110000;0.1338;0.1378;0.1338;0.1378;70;0
УралСиб ао;60;20170125;120000;0.1379;0.138;0.1368;0.1375;126;0
УралСиб ао;60;20170125;130000;0.1374;0.1377;0.1374;0.1377;35;0
УралСиб ао;60;20170125;140000;0.1368;0.1368;0.1359;0.1364;34;0
УралСиб ао;60;20170125;150000;0.1372;0.1377;0.1359;0.1377;56;0
УралСиб ао;60;20170125;160000;0.1365;0.1365;0.1364;0.1364;4;0
УралСиб ао;60;20170125;170000;0.1368;0.1368;0.1368;0.1368;3;0
УралСиб ао;60;20170125;180000;0.1364;0.1364;0.1358;0.1363;98;0
УралСиб ао;60;20170126;100000;0.1371;0.1373;0.1357;0.1361;54;0
УралСиб ао;60;20170126;110000;0.1371;0.1371;0.1362;0.1362;15;0
УралСиб ао;60;20170126;120000;0.1362;0.1369;0.134;0.1359;86;0
УралСиб ао;60;20170126;130000;0.1356;0.1361;0.1356;0.1361;6;0
УралСиб ао;60;20170126;140000;0.1361;0.1398;0.1361;0.1371;257;0
УралСиб ао;60;20170126;150000;0.1371;0.1376;0.1371;0.1376;17;0
УралСиб ао;60;20170126;160000;0.1376;0.1376;0.1369;0.137;32;0
УралСиб ао;60;20170126;170000;0.137;0.1371;0.1367;0.1371;15;0
УралСиб ао;60;20170126;180000;0.1371;0.1371;0.1366;0.1366;11;0
УралСиб ао;60;20170127;090000;0.125;0.125;0.125;0.125;231;0
УралСиб ао;60;20170127;100000;0.1254;0.1311;0.1008;0.1215;8927;0
УралСиб ао;60;20170127;110000;0.1218;0.1274;0.1217;0.1268;1427;0
