<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Уркалий-ао;60;20170124;100000;168.85;168.95;168.05;168.25;2230;0
Уркалий-ао;60;20170124;110000;168.25;168.55;168.25;168.5;641;0
Уркалий-ао;60;20170124;120000;168.5;168.5;167.7;167.8;2303;0
Уркалий-ао;60;20170124;130000;167.9;168.05;167.85;167.9;339;0
Уркалий-ао;60;20170124;140000;167.9;167.9;167.55;167.7;1264;0
Уркалий-ао;60;20170124;150000;167.8;167.85;167.55;167.6;1588;0
Уркалий-ао;60;20170124;160000;167.65;167.9;167.55;167.75;1922;0
Уркалий-ао;60;20170124;170000;167.7;167.7;167.25;167.5;4659;0
Уркалий-ао;60;20170124;180000;167.45;167.6;167.3;167.3;3326;0
Уркалий-ао;60;20170125;090000;167.4;167.4;167.4;167.4;30;0
Уркалий-ао;60;20170125;100000;167.25;167.5;165.3;167.5;9429;0
Уркалий-ао;60;20170125;110000;167.5;168.1;167.3;168.1;6831;0
Уркалий-ао;60;20170125;120000;168.1;168.15;168;168;1797;0
Уркалий-ао;60;20170125;130000;168;168.1;168;168;670;0
Уркалий-ао;60;20170125;140000;168;168.1;167.85;167.85;5978;0
Уркалий-ао;60;20170125;150000;167.85;168;167.85;167.9;556;0
Уркалий-ао;60;20170125;160000;167.9;168;167.85;168;66;0
Уркалий-ао;60;20170125;170000;167.9;168;167.9;167.9;84;0
Уркалий-ао;60;20170125;180000;168;168.15;167.9;168;11351;0
Уркалий-ао;60;20170126;100000;168;168.35;168;168.3;2296;0
Уркалий-ао;60;20170126;110000;168.3;168.5;167.25;168.4;4242;0
Уркалий-ао;60;20170126;120000;168.4;168.5;168.05;168.35;767;0
Уркалий-ао;60;20170126;130000;168.35;168.7;168;168.6;3983;0
Уркалий-ао;60;20170126;140000;168.6;168.75;168.45;168.65;2252;0
Уркалий-ао;60;20170126;150000;168.65;169.95;168.5;169.9;9907;0
Уркалий-ао;60;20170126;160000;169.9;170.25;169.35;169.75;6822;0
Уркалий-ао;60;20170126;170000;169.85;169.95;169.3;169.55;2082;0
Уркалий-ао;60;20170126;180000;169.45;169.8;169.4;169.75;1376;0
Уркалий-ао;60;20170127;100000;169.35;169.85;169.1;169.35;1791;0
Уркалий-ао;60;20170127;110000;169.35;169.45;168.55;168.55;1756;0
Уркалий-ао;60;20170127;120000;168.55;169.7;168.55;169.65;4944;0
Уркалий-ао;60;20170127;130000;169.65;169.8;169.3;169.3;1066;0
Уркалий-ао;60;20170127;140000;169.5;169.6;169.25;169.45;694;0
Уркалий-ао;60;20170127;150000;169.25;169.35;169;169.25;968;0
Уркалий-ао;60;20170127;160000;169.25;169.55;169;169.5;2400;0
Уркалий-ао;60;20170127;170000;169.45;170;169.3;169.8;5165;0
Уркалий-ао;60;20170127;180000;169.8;170;169.6;170;2440;0
Уркалий-ао;60;20170130;090000;169.05;169.05;169.05;169.05;8;0
Уркалий-ао;60;20170130;100000;169.25;170.1;169.15;169.65;2498;0
Уркалий-ао;60;20170130;110000;169.7;170.5;169.5;170;4325;0
Уркалий-ао;60;20170130;120000;170;170.25;170;170.2;1202;0
Уркалий-ао;60;20170130;130000;170.1;170.1;169.85;170.1;609;0
Уркалий-ао;60;20170130;140000;170.05;170.45;169.95;170.1;1507;0
Уркалий-ао;60;20170130;150000;170.1;170.2;169.85;169.85;1216;0
Уркалий-ао;60;20170130;160000;169.95;170;169.25;169.3;865;0
Уркалий-ао;60;20170130;170000;169.4;169.85;169.4;169.6;386;0
Уркалий-ао;60;20170130;180000;169.6;169.95;169.55;169.95;754;0
Уркалий-ао;60;20170131;100000;169.55;169.95;168.7;169.65;4437;0
Уркалий-ао;60;20170131;110000;169.7;169.9;169.55;169.7;1198;0
Уркалий-ао;60;20170131;120000;169.65;169.9;169.65;169.9;466;0
Уркалий-ао;60;20170131;130000;169.9;170.1;169.8;170.1;1891;0
Уркалий-ао;60;20170131;140000;170.05;171.3;169.95;170.45;7981;0
Уркалий-ао;60;20170131;150000;170.5;170.6;170.45;170.5;570;0
Уркалий-ао;60;20170131;160000;170.5;170.9;170.4;170.85;4646;0
Уркалий-ао;60;20170131;170000;170.75;171.1;170.4;170.75;5394;0
Уркалий-ао;60;20170131;180000;170.8;171;170.5;170.5;11526;0
Уркалий-ао;60;20170201;100000;171.2;171.2;170.25;170.25;3655;0
Уркалий-ао;60;20170201;110000;170.25;170.45;170.15;170.45;7082;0
Уркалий-ао;60;20170201;120000;170.35;170.4;170.1;170.15;623;0
Уркалий-ао;60;20170201;130000;170.15;170.35;169.9;169.9;971;0
Уркалий-ао;60;20170201;140000;169.9;169.95;169.6;169.95;541;0
Уркалий-ао;60;20170201;150000;169.9;169.9;169.25;169.5;2880;0
Уркалий-ао;60;20170201;160000;169.5;169.65;169.05;169.15;3111;0
Уркалий-ао;60;20170201;170000;169.1;169.5;169;169.4;1406;0
Уркалий-ао;60;20170201;180000;169.4;169.6;169.25;169.25;1792;0
Уркалий-ао;60;20170202;090000;169.25;169.25;169.25;169.25;108;0
Уркалий-ао;60;20170202;100000;169.25;169.3;169;169.1;1783;0
Уркалий-ао;60;20170202;110000;169;169.55;169;169.45;3753;0
Уркалий-ао;60;20170202;120000;169.35;169.6;169.35;169.5;721;0
Уркалий-ао;60;20170202;130000;169.55;169.55;169;169.05;1464;0
Уркалий-ао;60;20170202;140000;169.05;169.2;169;169.1;347;0
Уркалий-ао;60;20170202;150000;169.15;169.15;169;169.05;257;0
Уркалий-ао;60;20170202;160000;169.05;169.25;169.05;169.15;172;0
Уркалий-ао;60;20170202;170000;169.2;169.2;169.05;169.1;470;0
Уркалий-ао;60;20170202;180000;169.05;169.1;168.7;168.75;6969;0
Уркалий-ао;60;20170203;090000;169.5;169.5;169.5;169.5;10;0
Уркалий-ао;60;20170203;100000;169.45;169.45;168.75;168.85;1227;0
Уркалий-ао;60;20170203;110000;168.85;168.95;168.25;168.5;1703;0
Уркалий-ао;60;20170203;120000;168.4;168.55;168.25;168.55;1717;0
Уркалий-ао;60;20170203;130000;168.55;168.75;168.4;168.65;469;0
Уркалий-ао;60;20170203;140000;168.7;168.8;168.55;168.55;166;0
Уркалий-ао;60;20170203;150000;168.5;168.6;168.35;168.45;469;0
Уркалий-ао;60;20170203;160000;168.4;168.5;168.25;168.4;1520;0
Уркалий-ао;60;20170203;170000;168.4;168.5;168.25;168.4;635;0
Уркалий-ао;60;20170203;180000;168.45;168.7;168.25;168.25;2545;0
Уркалий-ао;60;20170206;090000;168.75;168.75;168.75;168.75;1;0
Уркалий-ао;60;20170206;100000;168.3;168.5;168;168.3;3144;0
Уркалий-ао;60;20170206;110000;168.3;168.45;168.25;168.25;1378;0
Уркалий-ао;60;20170206;120000;168.3;168.4;168.25;168.35;2431;0
Уркалий-ао;60;20170206;130000;168.4;168.5;168.25;168.4;1632;0
Уркалий-ао;60;20170206;140000;168.3;169.25;168.3;168.95;2504;0
Уркалий-ао;60;20170206;150000;168.95;169;168.4;168.4;619;0
Уркалий-ао;60;20170206;160000;168.4;168.8;168.3;168.6;879;0
