<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ФСК ЕЭС ао;60;20170124;090000;0.2125;0.2125;0.2125;0.2125;794;0
ФСК ЕЭС ао;60;20170124;100000;0.2125;0.21548;0.2125;0.21387;24176;0
ФСК ЕЭС ао;60;20170124;110000;0.21391;0.2147;0.21351;0.21466;11834;0
ФСК ЕЭС ао;60;20170124;120000;0.21466;0.21509;0.214;0.21491;7437;0
ФСК ЕЭС ао;60;20170124;130000;0.21488;0.21689;0.2148;0.21601;36018;0
ФСК ЕЭС ао;60;20170124;140000;0.21609;0.21686;0.21571;0.21632;4898;0
ФСК ЕЭС ао;60;20170124;150000;0.2162;0.21984;0.21608;0.21979;51514;0
ФСК ЕЭС ао;60;20170124;160000;0.21972;0.21982;0.21802;0.21935;23781;0
ФСК ЕЭС ао;60;20170124;170000;0.21929;0.22;0.21874;0.21999;20776;0
ФСК ЕЭС ао;60;20170124;180000;0.21999;0.221;0.21683;0.2206;65532;0
ФСК ЕЭС ао;60;20170125;090000;0.22063;0.22063;0.22063;0.22063;1025;0
ФСК ЕЭС ао;60;20170125;100000;0.22064;0.2248;0.2186;0.22445;83571;0
ФСК ЕЭС ао;60;20170125;110000;0.22449;0.22488;0.22225;0.22391;28452;0
ФСК ЕЭС ао;60;20170125;120000;0.22392;0.22432;0.22285;0.2239;23948;0
ФСК ЕЭС ао;60;20170125;130000;0.224;0.224;0.22121;0.22135;23861;0
ФСК ЕЭС ао;60;20170125;140000;0.22144;0.223;0.22131;0.222;7749;0
ФСК ЕЭС ао;60;20170125;150000;0.22187;0.22228;0.2202;0.22051;17896;0
ФСК ЕЭС ао;60;20170125;160000;0.22051;0.22076;0.21802;0.21971;39566;0
ФСК ЕЭС ао;60;20170125;170000;0.21951;0.22051;0.2182;0.21927;28533;0
ФСК ЕЭС ао;60;20170125;180000;0.21886;0.21921;0.218;0.21863;19952;0
ФСК ЕЭС ао;60;20170126;090000;0.2195;0.2195;0.2195;0.2195;151;0
ФСК ЕЭС ао;60;20170126;100000;0.2195;0.22152;0.2183;0.2205;28820;0
ФСК ЕЭС ао;60;20170126;110000;0.2205;0.2214;0.2203;0.22073;8248;0
ФСК ЕЭС ао;60;20170126;120000;0.22098;0.2214;0.21952;0.21984;9002;0
ФСК ЕЭС ао;60;20170126;130000;0.21988;0.2215;0.21891;0.22012;15092;0
ФСК ЕЭС ао;60;20170126;140000;0.22026;0.22092;0.21935;0.2206;7482;0
ФСК ЕЭС ао;60;20170126;150000;0.22077;0.2215;0.2206;0.2215;13383;0
ФСК ЕЭС ао;60;20170126;160000;0.2215;0.2215;0.2206;0.22149;7701;0
ФСК ЕЭС ао;60;20170126;170000;0.22149;0.22437;0.22107;0.2235;54184;0
ФСК ЕЭС ао;60;20170126;180000;0.22358;0.22666;0.22344;0.2256;65483;0
ФСК ЕЭС ао;60;20170127;090000;0.2258;0.2258;0.2258;0.2258;6;0
ФСК ЕЭС ао;60;20170127;100000;0.22599;0.22904;0.22431;0.2268;66785;0
ФСК ЕЭС ао;60;20170127;110000;0.22679;0.22776;0.22551;0.22592;14859;0
ФСК ЕЭС ао;60;20170127;120000;0.2258;0.22736;0.22529;0.22728;16700;0
ФСК ЕЭС ао;60;20170127;130000;0.22728;0.22943;0.22694;0.2283;26153;0
ФСК ЕЭС ао;60;20170127;140000;0.22803;0.22832;0.227;0.227;11180;0
ФСК ЕЭС ао;60;20170127;150000;0.22701;0.2305;0.227;0.23049;66156;0
ФСК ЕЭС ао;60;20170127;160000;0.23036;0.232;0.22997;0.2317;55720;0
ФСК ЕЭС ао;60;20170127;170000;0.23169;0.2317;0.227;0.23037;60845;0
