<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ФосАгро ао;60;20170124;090000;2736;2736;2736;2736;20;0
ФосАгро ао;60;20170124;100000;2757;2760;2734;2734;809;0
ФосАгро ао;60;20170124;110000;2735;2785;2717;2759;5927;0
ФосАгро ао;60;20170124;120000;2759;2763;2748;2751;1583;0
ФосАгро ао;60;20170124;130000;2752;2768;2750;2752;1011;0
ФосАгро ао;60;20170124;140000;2753;2770;2752;2759;1628;0
ФосАгро ао;60;20170124;150000;2760;2772;2760;2768;487;0
ФосАгро ао;60;20170124;160000;2769;2772;2767;2770;564;0
ФосАгро ао;60;20170124;170000;2771;2772;2761;2761;774;0
ФосАгро ао;60;20170124;180000;2763;2768;2756;2767;844;0
ФосАгро ао;60;20170125;090000;2780;2780;2780;2780;35;0
ФосАгро ао;60;20170125;100000;2767;2780;2753;2766;1275;0
ФосАгро ао;60;20170125;110000;2764;2795;2754;2787;14617;0
ФосАгро ао;60;20170125;120000;2782;2808;2779;2797;23220;0
ФосАгро ао;60;20170125;130000;2793;2800;2790;2796;794;0
ФосАгро ао;60;20170125;140000;2798;2813;2796;2804;2145;0
ФосАгро ао;60;20170125;150000;2802;2808;2794;2800;999;0
ФосАгро ао;60;20170125;160000;2800;2804;2784;2789;1348;0
ФосАгро ао;60;20170125;170000;2785;2794;2775;2790;1473;0
ФосАгро ао;60;20170125;180000;2793;2819;2789;2819;6063;0
ФосАгро ао;60;20170126;090000;2795;2795;2795;2795;480;0
ФосАгро ао;60;20170126;100000;2795;2800;2761;2787;4327;0
ФосАгро ао;60;20170126;110000;2785;2797;2780;2782;955;0
ФосАгро ао;60;20170126;120000;2781;2789;2780;2789;487;0
ФосАгро ао;60;20170126;130000;2784;2790;2781;2786;859;0
ФосАгро ао;60;20170126;140000;2785;2790;2782;2785;518;0
ФосАгро ао;60;20170126;150000;2786;2805;2785;2805;2041;0
ФосАгро ао;60;20170126;160000;2805;2809;2798;2807;877;0
ФосАгро ао;60;20170126;170000;2806;2809;2799;2799;662;0
ФосАгро ао;60;20170126;180000;2797;2808;2781;2799;863;0
ФосАгро ао;60;20170127;090000;2805;2805;2805;2805;3;0
ФосАгро ао;60;20170127;100000;2799;2814;2780;2798;1957;0
ФосАгро ао;60;20170127;110000;2798;2814;2798;2802;773;0
ФосАгро ао;60;20170127;120000;2803;2869;2802;2850;9790;0
ФосАгро ао;60;20170127;130000;2850;2855;2840;2849;1865;0
ФосАгро ао;60;20170127;140000;2846;2850;2831;2834;2274;0
ФосАгро ао;60;20170127;150000;2831;2846;2824;2839;1384;0
ФосАгро ао;60;20170127;160000;2840;2840;2827;2833;570;0
ФосАгро ао;60;20170127;170000;2833;2858;2827;2839;9765;0
ФосАгро ао;60;20170127;180000;2840;2860;2840;2860;4835;0
ФосАгро ао;60;20170130;090000;2851;2851;2851;2851;2;0
ФосАгро ао;60;20170130;100000;2860;3048;2780;2950;8104;0
ФосАгро ао;60;20170130;110000;2950;2950;2850;2869;7544;0
ФосАгро ао;60;20170130;120000;2869;2875;2860;2874;1081;0
ФосАгро ао;60;20170130;130000;2872;2872;2856;2863;4067;0
ФосАгро ао;60;20170130;140000;2862;2866;2850;2857;2110;0
ФосАгро ао;60;20170130;150000;2856;2869;2856;2863;1284;0
ФосАгро ао;60;20170130;160000;2862;2864;2838;2838;1827;0
ФосАгро ао;60;20170130;170000;2840;2871;2831;2870;1328;0
ФосАгро ао;60;20170130;180000;2867;2871;2858;2863;536;0
ФосАгро ао;60;20170131;090000;2872;2872;2872;2872;1;0
