<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Химпром ап;60;20170124;110000;6.21;6.21;6.2;6.2;3;0
Химпром ап;60;20170124;130000;6.21;6.53;6.21;6.49;47;0
Химпром ап;60;20170124;140000;6.42;6.42;6.32;6.32;20;0
Химпром ап;60;20170124;160000;6.31;6.31;6.27;6.28;8;0
Химпром ап;60;20170124;170000;6.29;6.29;6.28;6.28;2;0
Химпром ап;60;20170124;180000;6.38;6.45;6.38;6.45;12;0
Химпром ап;60;20170125;110000;6.42;6.42;6.42;6.42;2;0
Химпром ап;60;20170125;120000;6.36;6.36;6.35;6.35;7;0
Химпром ап;60;20170125;130000;6.3;6.3;6.3;6.3;1;0
Химпром ап;60;20170125;140000;6.3;6.32;6.28;6.32;7;0
Химпром ап;60;20170125;150000;6.28;6.28;6.26;6.28;3;0
Химпром ап;60;20170125;160000;6.31;6.31;6.31;6.31;1;0
Химпром ап;60;20170125;170000;6.28;6.35;6.28;6.35;8;0
Химпром ап;60;20170125;180000;6.43;6.43;6.25;6.4;22;0
Химпром ап;60;20170126;120000;6.31;6.31;6.3;6.3;3;0
Химпром ап;60;20170126;130000;6.29;6.29;6.26;6.26;5;0
Химпром ап;60;20170126;140000;6.26;6.26;6.26;6.26;2;0
Химпром ап;60;20170126;150000;6.27;6.27;6.26;6.26;3;0
Химпром ап;60;20170126;170000;6.26;6.32;6.26;6.26;5;0
Химпром ап;60;20170126;180000;6.31;6.33;6.31;6.33;3;0
Химпром ап;60;20170127;110000;6.34;6.34;6.25;6.25;8;0
Химпром ап;60;20170127;120000;6.38;6.39;6.38;6.39;4;0
Химпром ап;60;20170127;130000;6.36;6.36;6.36;6.36;1;0
Химпром ап;60;20170127;140000;6.36;6.36;6.36;6.36;2;0
Химпром ап;60;20170127;150000;6.39;6.4;6.39;6.4;5;0
Химпром ап;60;20170127;160000;6.4;6.47;6.36;6.36;4;0
Химпром ап;60;20170127;170000;6.46;6.46;6.46;6.46;1;0
Химпром ап;60;20170127;180000;6.46;6.46;6.46;6.46;1;0
Химпром ап;60;20170130;100000;6.5;6.77;6.5;6.75;37;0
Химпром ап;60;20170130;110000;6.74;7.2;6.67;7;61;0
Химпром ап;60;20170130;120000;7.01;7.18;7;7.06;71;0
Химпром ап;60;20170130;130000;7.06;7.06;7;7.01;19;0
Химпром ап;60;20170130;140000;7.15;7.15;7.15;7.15;6;0
Химпром ап;60;20170130;150000;7.03;7.2;7.02;7.2;21;0
Химпром ап;60;20170130;160000;7.27;7.54;7.13;7.2;53;0
Химпром ап;60;20170130;170000;7.11;7.15;7.02;7.14;12;0
Химпром ап;60;20170130;180000;7.06;7.27;6.99;7.27;16;0
Химпром ап;60;20170131;100000;7.25;7.25;6.9;7.19;21;0
Химпром ап;60;20170131;120000;7.05;7.05;6.9;6.9;7;0
Химпром ап;60;20170131;130000;6.91;7.27;6.9;7.27;17;0
Химпром ап;60;20170131;140000;7.26;7.3;7.26;7.28;5;0
Химпром ап;60;20170131;150000;7.11;7.11;7.02;7.02;3;0
Химпром ап;60;20170131;160000;7.02;7.02;7.02;7.02;5;0
Химпром ап;60;20170131;180000;7.02;7.02;6.75;6.95;53;0
Химпром ап;60;20170201;100000;7;7;7;7;12;0
Химпром ап;60;20170201;110000;6.94;6.94;6.79;6.79;12;0
Химпром ап;60;20170201;130000;6.79;6.79;6.79;6.79;1;0
Химпром ап;60;20170201;150000;6.81;6.81;6.81;6.81;2;0
Химпром ап;60;20170201;160000;6.81;6.81;6.81;6.81;1;0
Химпром ап;60;20170201;180000;6.98;6.98;6.98;6.98;1;0
Химпром ап;60;20170202;100000;6.66;6.66;6.66;6.66;2;0
Химпром ап;60;20170202;110000;6.8;7;6.8;7;6;0
Химпром ап;60;20170202;120000;7;7;7;7;7;0
Химпром ап;60;20170202;130000;6.83;6.99;6.83;6.99;3;0
Химпром ап;60;20170202;140000;6.95;6.96;6.95;6.96;3;0
Химпром ап;60;20170202;180000;7.07;7.07;7.07;7.07;1;0
Химпром ап;60;20170203;110000;6.71;6.9;6.5;6.89;47;0
Химпром ап;60;20170203;120000;6.7;6.86;6.5;6.7;51;0
Химпром ап;60;20170203;130000;6.7;6.8;6.7;6.75;13;0
Химпром ап;60;20170203;140000;6.75;6.78;6.74;6.78;9;0
Химпром ап;60;20170203;150000;6.78;6.79;6.72;6.72;7;0
Химпром ап;60;20170203;160000;6.72;6.75;6.7;6.75;25;0
Химпром ап;60;20170203;170000;6.78;6.79;6.78;6.79;7;0
Химпром ап;60;20170203;180000;6.78;6.8;6.78;6.8;6;0
Химпром ап;60;20170206;100000;6.6;6.6;6.6;6.6;2;0
Химпром ап;60;20170206;110000;6.6;6.84;6.6;6.84;13;0
Химпром ап;60;20170206;120000;6.85;6.85;6.7;6.7;34;0
Химпром ап;60;20170206;130000;6.73;6.73;6.7;6.7;56;0
Химпром ап;60;20170206;140000;6.76;6.76;6.7;6.7;79;0
Химпром ап;60;20170206;150000;6.7;6.71;6.7;6.7;11;0
Химпром ап;60;20170206;160000;6.78;6.85;6.78;6.85;13;0
Химпром ап;60;20170206;170000;6.8;6.85;6.8;6.85;4;0
Химпром ап;60;20170206;180000;6.79;6.79;6.79;6.79;7;0
Химпром ап;60;20170207;100000;6.95;6.96;6.95;6.96;3;0
Химпром ап;60;20170207;110000;6.96;6.97;6.96;6.96;5;0
Химпром ап;60;20170207;120000;6.99;6.99;6.96;6.96;2;0
Химпром ап;60;20170207;130000;6.96;6.96;6.96;6.96;2;0
Химпром ап;60;20170207;140000;6.86;6.87;6.86;6.87;2;0
Химпром ап;60;20170207;150000;6.82;6.82;6.82;6.82;1;0
Химпром ап;60;20170207;160000;6.88;6.88;6.88;6.88;1;0
Химпром ап;60;20170207;170000;6.96;6.96;6.96;6.96;1;0
Химпром ап;60;20170207;180000;6.97;6.97;6.97;6.97;1;0
Химпром ап;60;20170208;100000;6.97;7.3;6.97;7.15;38;0
Химпром ап;60;20170208;110000;7.14;7.3;7.14;7.3;25;0
Химпром ап;60;20170208;120000;7.27;7.29;7.27;7.27;5;0
Химпром ап;60;20170208;140000;7.18;7.19;7.16;7.16;4;0
Химпром ап;60;20170208;150000;7.2;7.2;7.2;7.2;1;0
Химпром ап;60;20170208;160000;7.2;7.2;7.15;7.15;2;0
Химпром ап;60;20170208;170000;7.13;7.2;7.13;7.2;9;0
Химпром ап;60;20170208;180000;7.21;7.38;7.15;7.38;37;0
Химпром ап;60;20170209;090000;7.2;7.2;7.2;7.2;3;0
Химпром ап;60;20170209;100000;7.3;8.04;7.3;8.01;85;0
Химпром ап;60;20170209;110000;8.01;8.47;7.72;8.46;283;0
Химпром ап;60;20170209;120000;8.47;8.68;8.03;8.14;145;0
Химпром ап;60;20170209;130000;8.12;8.33;8.01;8.14;75;0
Химпром ап;60;20170209;140000;8.14;8.16;8.02;8.12;31;0
Химпром ап;60;20170209;150000;8.07;8.65;8.07;8.49;151;0
Химпром ап;60;20170209;160000;8.49;8.49;8.07;8.16;46;0
Химпром ап;60;20170209;170000;8.17;8.37;8.11;8.28;41;0
Химпром ап;60;20170209;180000;8.19;8.4;8.17;8.39;36;0
Химпром ап;60;20170210;090000;8.2;8.2;8.2;8.2;5;0
Химпром ап;60;20170210;100000;8.16;8.2;7.6;7.89;94;0
Химпром ап;60;20170210;110000;7.85;8.09;7.7;7.71;150;0
Химпром ап;60;20170210;120000;7.75;7.9;7.73;7.73;12;0
Химпром ап;60;20170210;130000;7.74;7.75;7.7;7.75;23;0
Химпром ап;60;20170210;140000;7.73;7.9;7.7;7.79;39;0
Химпром ап;60;20170210;150000;7.75;7.88;7.75;7.88;5;0
Химпром ап;60;20170210;160000;7.81;7.91;7.81;7.91;9;0
Химпром ап;60;20170210;170000;7.91;8.04;7.88;8.04;19;0
Химпром ап;60;20170210;180000;7.95;8.03;7.93;8.03;7;0
Химпром ап;60;20170213;100000;7.9;7.9;7.6;7.64;22;0
Химпром ап;60;20170213;110000;7.64;7.64;7.05;7.48;106;0
Химпром ап;60;20170213;120000;7.68;7.68;7.5;7.68;5;0
Химпром ап;60;20170213;130000;7.5;7.5;7.48;7.48;3;0
Химпром ап;60;20170213;140000;7.45;7.53;7.45;7.53;3;0
Химпром ап;60;20170213;150000;7.45;7.45;7.36;7.36;15;0
Химпром ап;60;20170213;160000;7.36;7.56;7.34;7.34;31;0
Химпром ап;60;20170213;170000;7.4;7.4;7.3;7.3;20;0
Химпром ап;60;20170213;180000;7.3;7.42;7.22;7.39;15;0
Химпром ап;60;20170214;100000;7.4;7.53;7.4;7.41;6;0
Химпром ап;60;20170214;110000;7.41;7.52;7.18;7.51;26;0
Химпром ап;60;20170214;120000;7.52;7.54;7.52;7.54;14;0
Химпром ап;60;20170214;140000;7.33;7.33;7.26;7.26;9;0
Химпром ап;60;20170214;160000;7.32;7.6;7.32;7.6;29;0
Химпром ап;60;20170214;170000;7.6;7.65;7.33;7.33;20;0
Химпром ап;60;20170214;180000;7.48;7.48;7.48;7.48;3;0
Химпром ап;60;20170215;110000;7.42;7.55;7.42;7.53;14;0
Химпром ап;60;20170215;120000;7.35;7.35;7.35;7.35;1;0
Химпром ап;60;20170215;130000;7.65;7.99;7.65;7.99;21;0
Химпром ап;60;20170215;140000;8;8.12;8;8.12;23;0
Химпром ап;60;20170215;160000;8;8;7.68;7.68;9;0
Химпром ап;60;20170215;170000;7.69;7.77;7.67;7.77;4;0
Химпром ап;60;20170215;180000;7.68;7.69;7.63;7.69;18;0
Химпром ап;60;20170216;100000;7.7;8.49;7.2;7.6;114;0
Химпром ап;60;20170216;110000;7.62;7.75;7.62;7.7;7;0
Химпром ап;60;20170216;120000;7.7;7.7;7.5;7.68;17;0
Химпром ап;60;20170216;130000;7.54;7.54;7.54;7.54;1;0
Химпром ап;60;20170216;140000;7.56;7.56;7.54;7.54;2;0
Химпром ап;60;20170216;150000;7.53;7.53;7.4;7.4;5;0
Химпром ап;60;20170216;160000;7.4;7.5;7.4;7.42;4;0
Химпром ап;60;20170216;170000;7.59;7.59;7.41;7.41;2;0
Химпром ап;60;20170216;180000;7.55;7.55;7.3;7.33;32;0
Химпром ап;60;20170217;100000;7.57;7.57;7.56;7.56;3;0
Химпром ап;60;20170217;110000;7.53;7.53;7.25;7.32;10;0
Химпром ап;60;20170217;140000;7.31;7.4;7.31;7.38;9;0
Химпром ап;60;20170217;150000;7.35;7.35;7.17;7.25;10;0
Химпром ап;60;20170217;160000;7.27;7.33;6.99;7.09;95;0
Химпром ап;60;20170217;170000;7.07;7.15;6.95;6.96;67;0
Химпром ап;60;20170217;180000;7;7.1;7;7.09;58;0
Химпром ап;60;20170220;100000;7.15;7.5;7.06;7.5;21;0
Химпром ап;60;20170220;110000;7.4;7.45;7.13;7.13;8;0
Химпром ап;60;20170220;130000;7.16;7.16;7.16;7.16;5;0
Химпром ап;60;20170220;140000;7.29;7.29;7.29;7.29;2;0
Химпром ап;60;20170220;160000;7.16;7.16;7.16;7.16;1;0
Химпром ап;60;20170220;170000;7.16;7.16;7.16;7.16;1;0
Химпром ап;60;20170220;180000;7.15;7.15;7.15;7.15;1;0
Химпром ап;60;20170221;100000;7.4;7.45;7.01;7.29;38;0
Химпром ап;60;20170221;110000;7.27;7.29;7.1;7.17;14;0
Химпром ап;60;20170221;120000;7.25;7.25;7.05;7.05;4;0
Химпром ап;60;20170221;160000;7.07;7.07;7.07;7.07;1;0
Химпром ап;60;20170221;180000;7.23;7.27;7.23;7.23;32;0
Химпром ап;60;20170222;130000;7.32;7.32;7.01;7.01;11;0
Химпром ап;60;20170222;140000;7.05;7.05;7.05;7.05;2;0
Химпром ап;60;20170222;150000;7.05;7.05;7.05;7.05;1;0
Химпром ап;60;20170222;180000;7.02;7.07;6.91;6.91;20;0
Химпром ап;60;20170224;100000;7;7;6.77;6.77;12;0
Химпром ап;60;20170224;120000;6.78;6.78;6.77;6.77;14;0
Химпром ап;60;20170224;140000;6.76;6.85;6.75;6.85;15;0
Химпром ап;60;20170224;150000;6.99;7;6.9;6.9;9;0
Химпром ап;60;20170224;160000;6.91;6.91;6.91;6.91;1;0
Химпром ап;60;20170224;170000;6.9;6.99;6.9;6.99;10;0
Химпром ап;60;20170224;180000;6.98;7;6.98;7;10;0
Химпром ап;60;20170227;110000;6.87;6.91;6.87;6.9;6;0
Химпром ап;60;20170227;120000;6.85;6.85;6.85;6.85;1;0
Химпром ап;60;20170227;130000;6.81;6.81;6.7;6.7;16;0
Химпром ап;60;20170227;140000;6.71;6.79;6.63;6.79;64;0
Химпром ап;60;20170227;150000;6.79;6.79;6.73;6.73;2;0
Химпром ап;60;20170227;170000;6.79;6.8;6.79;6.8;4;0
Химпром ап;60;20170227;180000;6.92;6.98;6.89;6.89;10;0
Химпром ап;60;20170228;100000;6.89;6.89;6.66;6.7;8;0
Химпром ап;60;20170228;110000;6.63;6.69;6.4;6.51;37;0
Химпром ап;60;20170228;120000;6.52;6.52;6.52;6.52;1;0
Химпром ап;60;20170228;130000;6.66;6.7;6.66;6.7;15;0
Химпром ап;60;20170228;140000;6.73;6.76;6.7;6.76;6;0
Химпром ап;60;20170228;160000;6.75;6.75;6.75;6.75;4;0
Химпром ап;60;20170228;170000;6.77;6.89;6.75;6.75;24;0
Химпром ап;60;20170228;180000;6.7;6.77;6.7;6.77;13;0
Химпром ап;60;20170301;100000;6.89;6.89;6.75;6.75;8;0
Химпром ап;60;20170301;110000;6.92;6.95;6.92;6.95;4;0
Химпром ап;60;20170301;120000;6.88;7.05;6.88;7.05;18;0
Химпром ап;60;20170301;140000;6.79;6.91;6.79;6.9;6;0
Химпром ап;60;20170301;150000;6.9;6.9;6.8;6.8;23;0
Химпром ап;60;20170301;160000;6.78;6.91;6.78;6.91;2;0
Химпром ап;60;20170301;170000;6.79;6.79;6.7;6.7;50;0
Химпром ап;60;20170301;180000;6.7;6.7;6.35;6.53;208;0
Химпром ап;60;20170302;100000;6.64;6.8;6.6;6.8;43;0
Химпром ап;60;20170302;130000;6.67;6.8;6.67;6.8;2;0
Химпром ап;60;20170302;140000;6.84;6.84;6.84;6.84;31;0
Химпром ап;60;20170302;150000;6.7;6.7;6.56;6.56;9;0
