<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Холи Лэнд;60;20170131;140000;1038;1038;1038;1038;350;0
Холи Лэнд;60;20170131;150000;1039;1039;1039;1039;300;0
Холи Лэнд;60;20170131;160000;1039;1039;1039;1039;310;0
Холи Лэнд;60;20170221;170000;1025;1025;1025;1025;4391;0
Холи Лэнд;60;20170222;130000;1023;1023;1023;1023;62;0
Холи Лэнд;60;20170222;170000;1026;1026;1026;1026;75;0
Холи Лэнд;60;20170227;120000;1026;1026;1026;1026;95;0
Холи Лэнд;60;20170227;140000;1026;1026;1026;1026;125;0
Холи Лэнд;60;20170228;120000;1025;1025;1025;1025;40;0
Холи Лэнд;60;20170228;130000;1025;1025;1025;1025;50;0
Холи Лэнд;60;20170301;120000;1027;1027;1027;1027;55;0
Холи Лэнд;60;20170301;130000;1027;1027;1027;1027;50;0
Холи Лэнд;60;20170302;130000;1027;1027;1027;1027;65;0
Холи Лэнд;60;20170302;140000;1027;1027;1027;1027;135;0
Холи Лэнд;60;20170302;150000;1027.5;1027.5;1027.5;1027.5;85;0
Холи Лэнд;60;20170302;160000;1028;1028;1028;1028;70;0
Холи Лэнд;60;20170302;170000;1028;1028;1028;1028;130;0
Холи Лэнд;60;20170306;150000;1025;1025;1025;1025;4134;0
Холи Лэнд;60;20170306;160000;1025;1025;1025;1025;4500;0
Холи Лэнд;60;20170306;170000;1025;1025;1025;1025;6000;0
Холи Лэнд;60;20170310;150000;1025;1025;1025;1025;5000;0
Холи Лэнд;60;20170314;160000;1025;1025;1025;1025;150;0
Холи Лэнд;60;20170316;140000;1027;1027;1027;1027;71;0
Холи Лэнд;60;20170316;150000;1027;1027;1027;1027;129;0
Холи Лэнд;60;20170321;120000;1025;1025;1025;1025;80;0
Холи Лэнд;60;20170321;130000;1025;1025;1025;1025;120;0
Холи Лэнд;60;20170327;110000;1026;1026;1026;1026;40;0
Холи Лэнд;60;20170327;120000;1026;1026;1026;1026;60;0
Холи Лэнд;60;20170327;130000;1026;1026;1026;1026;17;0
Холи Лэнд;60;20170327;140000;1026;1026;1026;1026;83;0
Холи Лэнд;60;20170405;130000;1020;1020;1020;1020;2500;0
Холи Лэнд;60;20170406;120000;1020;1020;1020;1020;400;0
Холи Лэнд;60;20170406;130000;1020;1024;1020;1024;1700;0
Холи Лэнд;60;20170406;140000;1024;1024;1024;1024;1600;0
Холи Лэнд;60;20170414;100000;1020;1020;1020;1020;1500;0
Холи Лэнд;60;20170414;110000;1022;1022;1022;1022;150;0
Холи Лэнд;60;20170414;120000;1022;1022;1022;1022;400;0
Холи Лэнд;60;20170414;130000;1022;1022;1022;1022;871;0
Холи Лэнд;60;20170414;140000;1030;1030;1030;1030;1000;0
Холи Лэнд;60;20170421;150000;1019;1019;1019;1019;3500;0
Холи Лэнд;60;20170421;160000;1020;1020;1020;1020;1400;0
Холи Лэнд;60;20170503;150000;1018;1022;1018;1022;4200;0
Холи Лэнд;60;20170510;150000;1020;1020;1020;1020;3000;0
Холи Лэнд;60;20170511;160000;1025;1025;1025;1025;1000;0
Холи Лэнд;60;20170516;120000;1020;1020;1020;1020;950;0
Холи Лэнд;60;20170516;130000;1020;1020;1020;1020;2050;0
Холи Лэнд;60;20170517;130000;1022;1022;1022;1022;3000;0
Холи Лэнд;60;20170518;130000;1024;1024;1018;1019;3379;0
Холи Лэнд;60;20170524;150000;1018;1018;1018;1018;1000;0
Холи Лэнд;60;20170525;120000;1020;1020;1015;1017;7250;0
Холи Лэнд;60;20170525;130000;1025;1033;1025;1033;3050;0
Холи Лэнд;60;20170526;130000;1020;1020;1020;1020;700;0
Холи Лэнд;60;20170529;120000;1020;1020;1020;1020;800;0
Холи Лэнд;60;20170529;130000;1026;1029;1026;1027;8200;0
Холи Лэнд;60;20170529;140000;1029;1029;1028;1028;9300;0
Холи Лэнд;60;20170529;150000;1028;1030;1028;1029;18000;0
Холи Лэнд;60;20170531;170000;1022;1022;1022;1022;2900;0
Холи Лэнд;60;20170601;170000;1025;1025;1025;1025;1948;0
Холи Лэнд;60;20170606;140000;1027;1027;1026;1026;5500;0
Холи Лэнд;60;20170606;150000;1027;1029;1027;1027;13500;0
Холи Лэнд;60;20170607;100000;1029;1031;1029;1031;5400;0
Холи Лэнд;60;20170607;150000;1025;1030;1025;1026;14400;0
Холи Лэнд;60;20170607;160000;1027;1028;1027;1028;6500;0
Холи Лэнд;60;20170609;170000;1025;1026;1025;1026;9730;0
Холи Лэнд;60;20170613;140000;1024;1035;1024;1035;19309;0
Холи Лэнд;60;20170615;160000;1026;1029;1026;1029;13000;0
Холи Лэнд;60;20170615;170000;1033;1033;1033;1033;691;0
Холи Лэнд;60;20170616;130000;1027;1029;1027;1029;12885;0
Холи Лэнд;60;20170621;140000;1023;1023;1023;1023;5752;0
Холи Лэнд;60;20170622;160000;1025;1025;1025;1025;9000;0
Холи Лэнд;60;20170623;140000;1035;1035;1035;1035;2;0
Холи Лэнд;60;20170627;120000;1030;1030;1030;1030;1500;0
Холи Лэнд;60;20170628;150000;1024;1025;1024;1025;10000;0
Холи Лэнд;60;20170629;140000;1025;1025;1025;1025;8000;0
Холи Лэнд;60;20170630;110000;1025;1025;1025;1025;200;0
Холи Лэнд;60;20170703;130000;1029;1029;1029;1029;10000;0
Холи Лэнд;60;20170705;120000;1025;1025;1025;1025;1500;0
Холи Лэнд;60;20170705;150000;1024;1024;1024;1024;5000;0
Холи Лэнд;60;20170706;120000;1033;1033;1033;1033;28990;0
Холи Лэнд;60;20170706;150000;1032;1032;1032;1032;16455;0
Холи Лэнд;60;20170706;180000;1032;1032;1032;1032;1;0
Холи Лэнд;60;20170707;130000;1025;1025;1025;1025;3000;0
Холи Лэнд;60;20170707;160000;1032;1032;1032;1032;22000;0
Холи Лэнд;60;20170710;160000;1035;1035;1035;1035;8544;0
Холи Лэнд;60;20170713;120000;1023;1025;1023;1025;22530;0
Холи Лэнд;60;20170717;130000;1027;1027;1027;1027;4000;0
Холи Лэнд;60;20170720;140000;1010;1010;1010;1010;150;0
Холи Лэнд;60;20170721;120000;1024;1025;1024;1025;18500;0
Холи Лэнд;60;20170724;140000;1024;1027;1024;1027;5618;0
Холи Лэнд;60;20170803;130000;1028;1028;1028;1028;5000;0
Холи Лэнд;60;20170807;110000;1026;1026;1026;1026;8900;0
Холи Лэнд;60;20170817;130000;1026;1026;1026;1026;9150;0
Холи Лэнд;60;20170818;130000;1026;1027;1026;1027;1800;0
Холи Лэнд;60;20170818;140000;1027;1027;1027;1027;1024;0
Холи Лэнд;60;20170821;130000;1024;1026;1024;1026;5100;0
Холи Лэнд;60;20170821;160000;1026;1026;1026;1026;5000;0
Холи Лэнд;60;20170822;140000;1027;1027;1027;1027;4500;0
Холи Лэнд;60;20170823;120000;1027;1027;1027;1027;3670;0
Холи Лэнд;60;20170823;140000;1023;1023;1023;1023;4800;0
Холи Лэнд;60;20170825;110000;1025;1025;1025;1025;5000;0
Холи Лэнд;60;20170825;130000;1026;1026;1026;1026;9150;0
Холи Лэнд;60;20170825;150000;1027;1029;1027;1027;8333;0
Холи Лэнд;60;20170905;110000;1025.5;1025.5;1025.5;1025.5;3500;0
Холи Лэнд;60;20170906;140000;1030;1030;1030;1030;3600;0
Холи Лэнд;60;20170908;120000;1030;1030;1030;1030;1894;0
Холи Лэнд;60;20170912;140000;1033;1033;1033;1033;4000;0
Холи Лэнд;60;20170914;130000;1027.6;1027.6;1027.6;1027.6;5470;0
Холи Лэнд;60;20170915;140000;1030;1030;1030;1030;2007;0
Холи Лэнд;60;20170918;130000;1028.5;1033;1026;1026;28399;0
Холи Лэнд;60;20170918;140000;1025;1025;1025;1025;5000;0
Холи Лэнд;60;20170920;160000;1029;1029;1029;1029;48396;0
Холи Лэнд;60;20170921;160000;1027;1027;1027;1027;34080;0
Холи Лэнд;60;20170921;180000;1027;1027;1027;1027;17524;0
Холи Лэнд;60;20170922;110000;1027;1027;1027;1027;16160;0
Холи Лэнд;60;20170922;130000;1027;1027;1027;1027;16160;0
Холи Лэнд;60;20170925;110000;1025;1025;1025;1025;17000;0
Холи Лэнд;60;20170925;120000;1026.5;1027;1026.5;1027;26500;0
Холи Лэнд;60;20170926;130000;1026;1026;1026;1026;16160;0
Холи Лэнд;60;20170926;180000;1026;1026;1026;1026;13645;0
Холи Лэнд;60;20170927;160000;1025;1025;1025;1025;6000;0
Холи Лэнд;60;20170929;100000;1024;1024;1024;1024;135;0
Холи Лэнд;60;20170929;120000;1027;1027;1027;1027;1;0
Холи Лэнд;60;20170929;130000;1025.4;1025.4;1025.4;1025.4;1;0
Холи Лэнд;60;20170929;140000;1026;1026;1026;1026;320;0
Холи Лэнд;60;20171002;110000;1027;1027;1027;1027;5800;0
Холи Лэнд;60;20171003;100000;1026;1026;1026;1026;9500;0
Холи Лэнд;60;20171004;110000;1024.6;1024.6;1024.6;1024.6;10000;0
Холи Лэнд;60;20171004;130000;1026;1026;1026;1026;1000;0
Холи Лэнд;60;20171004;140000;1027;1027;1027;1027;6000;0
Холи Лэнд;60;20171004;150000;1027;1027;1027;1027;7000;0
Холи Лэнд;60;20171005;110000;1026;1026;1026;1026;10000;0
Холи Лэнд;60;20171006;140000;1026;1026;1026;1026;9000;0
Холи Лэнд;60;20171009;110000;1026;1026;1026;1026;5501;0
Холи Лэнд;60;20171009;120000;1033;1033;1033;1033;262;0
Холи Лэнд;60;20171009;130000;1026;1026;1026;1026;2700;0
Холи Лэнд;60;20171011;120000;1028;1028;1028;1028;3300;0
Холи Лэнд;60;20171012;110000;1026;1026;1026;1026;5500;0
Холи Лэнд;60;20171012;130000;1028;1028;1028;1028;2800;0
Холи Лэнд;60;20171016;110000;1028;1028;1028;1028;1000;0
Холи Лэнд;60;20171017;100000;1026;1026;1026;1026;9500;0
Холи Лэнд;60;20171018;120000;1027;1027;1026;1026;12000;0
Холи Лэнд;60;20171019;140000;1026;1026;1026;1026;10000;0
Холи Лэнд;60;20171019;150000;1030;1030;1030;1030;253;0
Холи Лэнд;60;20171020;130000;1026;1026;1026;1026;14000;0
Холи Лэнд;60;20171023;130000;1026;1026;1026;1026;8000;0
Холи Лэнд;60;20171025;110000;1024.3;1025;1024.3;1025;10500;0
Холи Лэнд;60;20171031;120000;1027;1027;1027;1027;9000;0
Холи Лэнд;60;20171031;130000;1024;1024;1024;1024;12000;0
Холи Лэнд;60;20171031;140000;1024;1024;1024;1024;4000;0
Холи Лэнд;60;20171101;130000;1026;1026;1026;1026;14570;0
Холи Лэнд;60;20171101;150000;1025;1025;1025;1025;3452;0
Холи Лэнд;60;20171102;110000;1026;1026;1026;1026;430;0
Холи Лэнд;60;20171103;140000;1025;1025;1025;1025;6000;0
Холи Лэнд;60;20171103;150000;1026;1026;1026;1026;6000;0
