<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЦМТ ао;60;20170124;130000;9.05;9.1;9.05;9.1;2;0
ЦМТ ао;60;20170124;140000;8.95;8.95;8.95;8.95;5;0
ЦМТ ао;60;20170125;120000;8.95;8.95;8.95;8.95;3;0
ЦМТ ао;60;20170126;120000;8.85;8.95;8.7;8.95;14;0
ЦМТ ао;60;20170126;140000;8.75;8.95;8.65;8.95;31;0
ЦМТ ао;60;20170126;150000;8.75;8.75;8.7;8.7;5;0
ЦМТ ао;60;20170126;170000;8.7;8.7;8.7;8.7;2;0
ЦМТ ао;60;20170126;180000;8.7;8.7;8.7;8.7;6;0
ЦМТ ао;60;20170127;120000;8.8;8.8;8.8;8.8;4;0
ЦМТ ао;60;20170127;130000;8.8;8.8;8.8;8.8;1;0
ЦМТ ао;60;20170127;140000;8.8;8.8;8.8;8.8;4;0
ЦМТ ао;60;20170127;150000;8.8;8.8;8.8;8.8;1;0
ЦМТ ао;60;20170127;160000;8.8;8.8;8.7;8.7;9;0
ЦМТ ао;60;20170127;170000;8.7;8.7;8.7;8.7;5;0
ЦМТ ао;60;20170130;100000;8.65;8.65;8.6;8.6;7;0
ЦМТ ао;60;20170130;150000;8.75;8.75;8.75;8.75;1;0
ЦМТ ао;60;20170130;160000;8.75;8.75;8.75;8.75;1;0
ЦМТ ао;60;20170130;170000;8.7;8.75;8.6;8.75;6;0
ЦМТ ао;60;20170130;180000;8.6;8.95;8.6;8.95;14;0
ЦМТ ао;60;20170131;100000;8.8;8.8;8.8;8.8;1;0
ЦМТ ао;60;20170131;110000;9;9;9;9;17;0
ЦМТ ао;60;20170131;150000;8.95;9;8.95;8.95;6;0
ЦМТ ао;60;20170131;160000;8.95;8.95;8.95;8.95;1;0
ЦМТ ао;60;20170131;170000;9;9;9;9;1;0
ЦМТ ао;60;20170201;100000;8.85;8.85;8.7;8.7;11;0
ЦМТ ао;60;20170201;110000;8.85;9;8.85;9;5;0
ЦМТ ао;60;20170201;160000;8.85;8.85;8.8;8.8;2;0
ЦМТ ао;60;20170201;180000;8.95;8.95;8.95;8.95;1;0
ЦМТ ао;60;20170202;130000;8.75;8.75;8.75;8.75;1;0
ЦМТ ао;60;20170203;110000;8.7;8.7;8.6;8.6;5;0
ЦМТ ао;60;20170203;130000;8.6;8.6;8.6;8.6;4;0
ЦМТ ао;60;20170206;100000;8.8;9;8.75;8.95;12;0
ЦМТ ао;60;20170206;110000;8.85;8.85;8.85;8.85;1;0
ЦМТ ао;60;20170206;130000;8.85;8.85;8.5;8.5;40;0
ЦМТ ао;60;20170206;150000;8.65;8.65;8.65;8.65;1;0
ЦМТ ао;60;20170208;150000;8.6;8.6;8.6;8.6;1;0
ЦМТ ао;60;20170208;160000;8.55;8.55;8.55;8.55;1;0
ЦМТ ао;60;20170213;140000;8.75;8.75;8.75;8.75;1;0
ЦМТ ао;60;20170214;170000;8.6;8.75;8.6;8.75;2;0
ЦМТ ао;60;20170216;100000;8.6;8.6;8;8.5;12;0
ЦМТ ао;60;20170217;120000;8.5;8.6;8.2;8.6;977;0
ЦМТ ао;60;20170217;180000;8.65;9;8.65;9;26;0
ЦМТ ао;60;20170220;100000;8.85;8.85;8.75;8.85;4;0
ЦМТ ао;60;20170220;150000;8.9;8.9;8.9;8.9;2;0
ЦМТ ао;60;20170220;170000;8.95;8.95;8.9;8.95;709;0
ЦМТ ао;60;20170220;180000;8.9;8.9;8.9;8.9;1;0
ЦМТ ао;60;20170221;170000;8.95;8.95;8.95;8.95;110;0
ЦМТ ао;60;20170222;130000;8.85;8.85;8.85;8.85;1;0
ЦМТ ао;60;20170222;160000;8.8;8.8;8.8;8.8;6;0
ЦМТ ао;60;20170222;170000;8.9;8.9;8.9;8.9;170;0
ЦМТ ао;60;20170224;100000;8.75;8.75;8.3;8.3;23;0
ЦМТ ао;60;20170224;110000;8.35;8.4;8.25;8.4;11;0
ЦМТ ао;60;20170224;120000;8.25;8.25;8.25;8.25;6;0
ЦМТ ао;60;20170224;140000;8.4;8.6;8.4;8.45;11;0
ЦМТ ао;60;20170224;180000;8.6;8.65;8.6;8.65;2;0
ЦМТ ао;60;20170227;100000;8.65;8.8;8.1;8.8;301;0
ЦМТ ао;60;20170227;120000;8.8;8.8;8.8;8.8;1;0
ЦМТ ао;60;20170227;130000;8.6;8.7;8.5;8.7;22;0
ЦМТ ао;60;20170227;150000;8.7;8.7;8.7;8.7;1;0
ЦМТ ао;60;20170227;160000;8.5;8.5;8.5;8.5;11;0
ЦМТ ао;60;20170227;170000;8.5;8.5;8.5;8.5;11;0
ЦМТ ао;60;20170227;180000;8.5;8.5;8.5;8.5;2;0
