<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЦМТ ап;60;20170125;100000;6.4;6.4;6.4;6.4;1;0
ЦМТ ап;60;20170126;100000;6.5;6.5;6.5;6.5;1;0
ЦМТ ап;60;20170127;110000;6.4;6.4;6.4;6.4;1;0
ЦМТ ап;60;20170127;180000;6.54;6.54;6.54;6.54;1;0
ЦМТ ап;60;20170202;150000;6.5;6.5;6.5;6.5;1;0
ЦМТ ап;60;20170202;180000;6.64;6.64;6.64;6.64;1;0
ЦМТ ап;60;20170203;120000;6.52;6.52;6.52;6.52;1;0
ЦМТ ап;60;20170208;100000;6.63;6.63;6.63;6.63;1;0
ЦМТ ап;60;20170210;160000;6.4;6.4;6.4;6.4;1;0
ЦМТ ап;60;20170213;110000;6.33;6.33;6.33;6.33;1;0
ЦМТ ап;60;20170216;100000;6.3;6.3;6.3;6.3;1;0
ЦМТ ап;60;20170217;170000;6.24;6.24;6.24;6.24;1;0
ЦМТ ап;60;20170220;160000;6.23;6.23;6.23;6.23;1;0
ЦМТ ап;60;20170224;130000;6.28;6.28;6.28;6.28;1;0
ЦМТ ап;60;20170301;180000;6.13;6.13;6.13;6.13;1;0
ЦМТ ап;60;20170306;110000;6.11;6.11;6;6;42;0
ЦМТ ап;60;20170307;100000;6.08;6.08;6.08;6.08;1;0
ЦМТ ап;60;20170309;110000;6.09;6.09;6.09;6.09;1;0
ЦМТ ап;60;20170310;170000;6.14;6.14;6.14;6.14;2;0
ЦМТ ап;60;20170313;100000;6.18;6.18;6.18;6.18;1;0
ЦМТ ап;60;20170314;110000;6.07;6.07;6.07;6.07;1;0
ЦМТ ап;60;20170314;170000;6.01;6.01;6;6;2;0
ЦМТ ап;60;20170322;100000;6.14;6.14;6.14;6.14;1;0
ЦМТ ап;60;20170322;140000;6.18;6.29;6.18;6.29;8;0
ЦМТ ап;60;20170322;150000;6.1;6.1;6.1;6.1;1;0
ЦМТ ап;60;20170322;170000;6;6;5.9;5.9;41;0
ЦМТ ап;60;20170323;130000;5.87;5.87;5.8;5.8;52;0
ЦМТ ап;60;20170324;120000;5.98;5.98;5.98;5.98;1;0
ЦМТ ап;60;20170324;150000;6.01;6.01;6;6;10;0
ЦМТ ап;60;20170327;140000;5.9;5.9;5.38;5.38;10;0
ЦМТ ап;60;20170327;150000;5.7;5.7;5.66;5.66;4;0
ЦМТ ап;60;20170327;170000;5.74;5.74;5.74;5.74;1;0
ЦМТ ап;60;20170328;090000;5.67;5.67;5.67;5.67;1;0
ЦМТ ап;60;20170328;150000;5.74;6.19;5.74;6.07;6;0
ЦМТ ап;60;20170329;160000;5.87;5.87;5.87;5.87;1;0
ЦМТ ап;60;20170403;100000;5.72;5.72;5.72;5.72;1;0
ЦМТ ап;60;20170403;110000;5.72;5.72;5.72;5.72;17;0
ЦМТ ап;60;20170403;140000;5.72;5.72;5.72;5.72;3;0
ЦМТ ап;60;20170403;160000;5.72;5.72;5.72;5.72;3;0
ЦМТ ап;60;20170403;170000;5.72;5.72;5.72;5.72;17;0
ЦМТ ап;60;20170403;180000;5.84;6;5.84;6;7;0
ЦМТ ап;60;20170404;140000;5.9;5.9;5.9;5.9;1;0
ЦМТ ап;60;20170405;110000;5.98;5.98;5.98;5.98;1;0
ЦМТ ап;60;20170410;100000;5.9;5.9;5.9;5.9;1;0
ЦМТ ап;60;20170410;110000;5.64;5.64;5.64;5.64;1;0
ЦМТ ап;60;20170410;120000;5.64;5.64;5.64;5.64;1;0
ЦМТ ап;60;20170410;130000;5.91;5.91;5.91;5.91;1;0
ЦМТ ап;60;20170410;180000;5.65;5.65;5.65;5.65;1;0
ЦМТ ап;60;20170413;100000;5.66;5.66;5.65;5.65;4;0
ЦМТ ап;60;20170413;110000;5.65;5.65;5.65;5.65;2;0
ЦМТ ап;60;20170414;110000;5.63;5.63;5.61;5.61;2;0
ЦМТ ап;60;20170414;120000;5.5;5.5;5.5;5.5;2;0
ЦМТ ап;60;20170414;140000;5.5;5.5;5.5;5.5;1;0
ЦМТ ап;60;20170414;160000;5.5;5.5;5.5;5.5;1;0
ЦМТ ап;60;20170417;160000;5.4;5.4;5.4;5.4;22;0
ЦМТ ап;60;20170417;170000;5.74;5.74;5.74;5.74;1;0
ЦМТ ап;60;20170419;130000;5.6;5.6;5.6;5.6;1;0
ЦМТ ап;60;20170420;140000;5.51;5.51;5.5;5.5;2;0
ЦМТ ап;60;20170420;160000;5.58;5.7;5.58;5.7;13;0
ЦМТ ап;60;20170428;140000;6.04;6.04;5.92;5.92;2;0
ЦМТ ап;60;20170502;160000;5.7;5.7;5.7;5.7;1;0
ЦМТ ап;60;20170504;100000;5.57;5.57;5.01;5.07;38;0
ЦМТ ап;60;20170504;110000;5.38;5.38;5.37;5.37;2;0
ЦМТ ап;60;20170504;140000;5.41;6.04;5.41;6.04;35;0
ЦМТ ап;60;20170504;150000;5.96;5.96;5.96;5.96;1;0
ЦМТ ап;60;20170504;170000;5.83;5.83;5.83;5.83;1;0
ЦМТ ап;60;20170512;150000;5.93;5.94;5.93;5.94;2;0
ЦМТ ап;60;20170529;150000;6.05;6.5;6.05;6.5;12;0
ЦМТ ап;60;20170530;100000;6.17;6.17;6.17;6.17;1;0
ЦМТ ап;60;20170530;140000;6.05;6.05;6.05;6.05;1;0
ЦМТ ап;60;20170601;170000;5.95;5.95;5.95;5.95;1;0
ЦМТ ап;60;20170605;130000;6.08;6.1;6.08;6.08;14;0
ЦМТ ап;60;20170605;170000;6.08;6.08;6.08;6.08;1;0
ЦМТ ап;60;20170606;170000;6.24;6.24;6.24;6.24;1;0
ЦМТ ап;60;20170607;110000;6.15;6.15;6.15;6.15;1;0
ЦМТ ап;60;20170609;120000;6.24;6.24;6.24;6.24;1;0
ЦМТ ап;60;20170609;130000;6.24;6.24;6.24;6.24;1;0
ЦМТ ап;60;20170613;120000;6.29;6.29;6.29;6.29;1;0
ЦМТ ап;60;20170613;130000;6.25;6.25;6.23;6.23;2;0
ЦМТ ап;60;20170623;150000;6.3;6.3;6.3;6.3;1;0
ЦМТ ап;60;20170627;120000;6.3;6.3;6.3;6.3;1;0
ЦМТ ап;60;20170629;120000;6.38;6.38;6.38;6.38;1;0
ЦМТ ап;60;20170630;120000;6.38;6.38;6.38;6.38;2;0
ЦМТ ап;60;20170630;160000;6.5;6.5;6.5;6.5;1;0
ЦМТ ап;60;20170703;100000;6.4;6.54;6.4;6.54;2;0
ЦМТ ап;60;20170703;110000;6.55;6.55;6.55;6.55;1;0
ЦМТ ап;60;20170703;120000;6.55;6.55;6.55;6.55;2;0
ЦМТ ап;60;20170703;130000;6.55;6.55;6.55;6.55;1;0
ЦМТ ап;60;20170703;140000;6.55;6.55;6.55;6.55;1;0
ЦМТ ап;60;20170703;160000;6.55;6.55;6.55;6.55;1;0
ЦМТ ап;60;20170703;170000;6.55;6.55;6.55;6.55;6;0
ЦМТ ап;60;20170703;180000;6.55;6.55;6.55;6.55;3;0
ЦМТ ап;60;20170704;090000;6.12;6.12;6.12;6.12;1;0
ЦМТ ап;60;20170704;110000;5.9;5.9;5.73;5.73;4;0
ЦМТ ап;60;20170704;120000;5.61;5.61;5.61;5.61;1;0
ЦМТ ап;60;20170704;130000;5.72;5.74;5.72;5.74;5;0
ЦМТ ап;60;20170704;170000;5.66;5.78;5.66;5.78;2;0
ЦМТ ап;60;20170705;100000;5.84;5.84;5.84;5.84;1;0
ЦМТ ап;60;20170705;150000;5.77;5.77;5.77;5.77;1;0
ЦМТ ап;60;20170705;170000;5.71;5.71;5.71;5.71;2;0
ЦМТ ап;60;20170706;110000;5.84;5.84;5.84;5.84;1;0
ЦМТ ап;60;20170707;110000;5.77;5.77;5.77;5.77;1;0
ЦМТ ап;60;20170711;170000;5.8;5.8;5.8;5.8;2;0
ЦМТ ап;60;20170712;180000;5.94;5.94;5.94;5.94;1;0
ЦМТ ап;60;20170714;120000;5.93;5.93;5.93;5.93;2;0
ЦМТ ап;60;20170717;170000;5.86;5.86;5.86;5.86;1;0
ЦМТ ап;60;20170717;180000;5.98;6;5.98;6;5;0
ЦМТ ап;60;20170718;120000;6.04;6.04;6.04;6.04;1;0
ЦМТ ап;60;20170718;160000;6.05;6.05;6.05;6.05;1;0
ЦМТ ап;60;20170720;180000;6.15;6.15;6.15;6.15;3;0
ЦМТ ап;60;20170721;120000;6.18;6.18;6.18;6.18;1;0
ЦМТ ап;60;20170725;130000;6.07;6.07;5.36;5.5;10;0
ЦМТ ап;60;20170725;140000;5.95;5.95;5.83;5.83;2;0
ЦМТ ап;60;20170725;150000;5.94;6.08;5.94;6;8;0
ЦМТ ап;60;20170726;120000;6.15;6.15;6.15;6.15;7;0
ЦМТ ап;60;20170726;180000;6.18;6.18;6.18;6.18;1;0
ЦМТ ап;60;20170727;140000;6.18;6.18;6.18;6.18;49;0
ЦМТ ап;60;20170727;180000;6.18;6.18;6.18;6.18;31;0
ЦМТ ап;60;20170728;180000;6.13;6.13;6.13;6.13;1;0
ЦМТ ап;60;20170731;110000;6.01;6.01;5.06;5.71;26;0
ЦМТ ап;60;20170731;120000;5.83;6.15;5.83;6.15;14;0
ЦМТ ап;60;20170803;160000;6.28;6.28;6.28;6.28;1;0
ЦМТ ап;60;20170803;170000;6.2;6.2;6.2;6.2;1;0
ЦМТ ап;60;20170808;100000;6.34;6.34;6.34;6.34;1;0
ЦМТ ап;60;20170809;160000;6.26;6.26;6.26;6.26;1;0
ЦМТ ап;60;20170810;120000;6.07;6.07;6.07;6.07;1;0
ЦМТ ап;60;20170810;140000;5.93;5.93;5.93;5.93;1;0
ЦМТ ап;60;20170811;110000;6;6;6;6;20;0
ЦМТ ап;60;20170814;170000;6;6.03;6;6.03;22;0
ЦМТ ап;60;20170816;100000;6.04;6.04;6.04;6.04;1;0
ЦМТ ап;60;20170817;170000;5.87;5.87;5.71;5.71;20;0
ЦМТ ап;60;20170821;100000;5.98;5.98;5.98;5.98;1;0
ЦМТ ап;60;20170821;120000;5.83;5.83;5.83;5.83;1;0
ЦМТ ап;60;20170821;180000;5.83;5.83;5.83;5.83;1;0
ЦМТ ап;60;20170823;100000;5.72;5.72;5.72;5.72;31;0
ЦМТ ап;60;20170823;120000;5.71;5.71;5.71;5.71;30;0
ЦМТ ап;60;20170824;120000;5.8;5.8;5.8;5.8;3;0
ЦМТ ап;60;20170824;150000;5.8;5.8;5.8;5.8;2;0
ЦМТ ап;60;20170825;120000;5.84;5.84;5.75;5.75;2;0
ЦМТ ап;60;20170828;100000;5.71;5.71;5.71;5.71;1;0
ЦМТ ап;60;20170828;140000;5.71;5.71;5.71;5.71;1;0
ЦМТ ап;60;20170828;170000;5.71;5.71;5.71;5.71;2;0
ЦМТ ап;60;20170829;170000;5.7;5.84;5.7;5.84;7;0
ЦМТ ап;60;20170829;180000;5.75;5.94;5.75;5.85;9;0
ЦМТ ап;60;20170830;150000;5.7;5.7;5.7;5.7;1;0
ЦМТ ап;60;20170831;130000;5.85;5.85;5.85;5.85;1;0
ЦМТ ап;60;20170831;180000;5.85;5.85;5.85;5.85;2;0
ЦМТ ап;60;20170901;140000;5.67;5.67;5.67;5.67;1;0
ЦМТ ап;60;20170901;150000;5.77;5.77;5.77;5.77;1;0
ЦМТ ап;60;20170901;160000;5.77;5.84;5.77;5.84;7;0
ЦМТ ап;60;20170906;180000;5.77;5.77;5.77;5.77;1;0
ЦМТ ап;60;20170907;120000;5.7;5.7;5.4;5.57;43;0
ЦМТ ап;60;20170907;130000;5.69;5.69;5.69;5.69;1;0
ЦМТ ап;60;20170907;150000;5.78;5.89;5.78;5.89;4;0
ЦМТ ап;60;20170907;180000;5.82;5.82;5.82;5.82;1;0
ЦМТ ап;60;20170908;170000;5.77;5.77;5.77;5.77;1;0
ЦМТ ап;60;20170908;180000;5.94;5.97;5.86;5.86;3;0
ЦМТ ап;60;20170911;100000;5.83;5.99;5.51;5.91;8;0
ЦМТ ап;60;20170911;110000;5.95;6;5.95;5.99;6;0
ЦМТ ап;60;20170911;140000;5.87;5.87;5.71;5.71;2;0
ЦМТ ап;60;20170911;180000;5.83;5.83;5.83;5.83;1;0
ЦМТ ап;60;20170912;140000;5.98;6.04;5.93;5.93;5;0
ЦМТ ап;60;20170912;160000;5.87;5.87;5.1;5.52;58;0
ЦМТ ап;60;20170912;170000;5.55;5.61;5.5;5.5;6;0
ЦМТ ап;60;20170912;180000;5.59;5.84;5.59;5.84;26;0
ЦМТ ап;60;20170913;160000;5.87;5.88;5.87;5.88;2;0
ЦМТ ап;60;20170913;170000;5.81;5.81;5.81;5.81;1;0
ЦМТ ап;60;20170914;120000;5.82;5.82;5.82;5.82;1;0
ЦМТ ап;60;20170914;130000;5.8;5.8;5.8;5.8;2;0
ЦМТ ап;60;20170914;150000;5.82;5.95;5.82;5.95;20;0
ЦМТ ап;60;20170914;160000;5.98;5.99;5.98;5.99;4;0
ЦМТ ап;60;20170914;180000;5.95;5.95;5.95;5.95;10;0
ЦМТ ап;60;20170915;140000;5.91;5.91;5.91;5.91;1;0
ЦМТ ап;60;20170915;170000;5.91;6;5.91;6;13;0
ЦМТ ап;60;20170915;180000;6;6;6;6;6;0
ЦМТ ап;60;20170918;120000;5.91;5.91;5.91;5.91;2;0
ЦМТ ап;60;20170918;150000;6;6;6;6;31;0
ЦМТ ап;60;20170918;160000;6;6;6;6;5;0
ЦМТ ап;60;20170918;170000;5.82;5.88;5.7;5.81;64;0
ЦМТ ап;60;20170919;140000;5.82;5.82;5.82;5.82;25;0
ЦМТ ап;60;20170919;150000;5.82;5.82;5.82;5.82;27;0
ЦМТ ап;60;20170921;180000;5.94;6.05;5.94;6.05;11;0
ЦМТ ап;60;20170922;110000;6.01;6.01;6.01;6.01;12;0
ЦМТ ап;60;20170922;120000;6.04;6.08;6.04;6.08;13;0
ЦМТ ап;60;20170922;130000;6.1;6.11;6.1;6.11;9;0
ЦМТ ап;60;20170926;180000;6.1;6.1;6.1;6.1;2;0
ЦМТ ап;60;20170928;110000;6.1;6.19;6.1;6.19;8;0
ЦМТ ап;60;20170928;120000;6.22;6.22;6.22;6.22;2;0
ЦМТ ап;60;20170928;130000;6.06;6.06;6.06;6.06;1;0
ЦМТ ап;60;20171005;170000;6.19;6.55;6.19;6.55;8;0
ЦМТ ап;60;20171005;180000;6.46;6.46;6.46;6.46;1;0
ЦМТ ап;60;20171006;120000;6.37;6.37;6.35;6.35;2;0
ЦМТ ап;60;20171006;140000;6.45;6.45;6.45;6.45;1;0
ЦМТ ап;60;20171006;150000;6.31;6.31;6.31;6.31;10;0
ЦМТ ап;60;20171006;160000;6.32;6.32;6.32;6.32;1;0
ЦМТ ап;60;20171009;110000;6.25;6.25;6.25;6.25;1;0
ЦМТ ап;60;20171009;140000;6.4;6.4;6.4;6.4;1;0
ЦМТ ап;60;20171009;180000;6.4;6.4;6.4;6.4;8;0
ЦМТ ап;60;20171010;100000;6.2;6.2;6.12;6.12;3;0
ЦМТ ап;60;20171010;160000;6.1;6.1;6.1;6.1;45;0
ЦМТ ап;60;20171010;170000;6.1;6.1;6.1;6.1;1;0
ЦМТ ап;60;20171012;160000;6.09;6.09;6.09;6.09;1;0
ЦМТ ап;60;20171013;110000;6.05;6.05;6.04;6.04;16;0
ЦМТ ап;60;20171013;120000;6.14;6.15;6.14;6.15;3;0
ЦМТ ап;60;20171013;180000;6.11;6.11;6.11;6.11;1;0
ЦМТ ап;60;20171016;110000;6.15;6.15;6.15;6.15;21;0
ЦМТ ап;60;20171016;140000;6.1;6.1;6.1;6.1;63;0
ЦМТ ап;60;20171016;150000;6.05;6.05;5.73;5.75;10495;0
ЦМТ ап;60;20171016;160000;6.14;6.14;5.95;6;4;0
ЦМТ ап;60;20171016;170000;6.01;6.01;6.01;6.01;1;0
ЦМТ ап;60;20171019;160000;6.04;6.14;6.04;6.14;2;0
ЦМТ ап;60;20171023;170000;6.1;6.1;6.1;6.1;2;0
ЦМТ ап;60;20171024;130000;6.08;6.08;6.08;6.08;1;0
ЦМТ ап;60;20171025;150000;6.18;6.18;6.18;6.18;2;0
ЦМТ ап;60;20171030;130000;6.07;6.07;6.07;6.07;1;0
ЦМТ ап;60;20171030;180000;5.87;5.93;5.2;5.72;64;0
ЦМТ ап;60;20171031;110000;5.61;5.61;5.52;5.6;7;0
ЦМТ ап;60;20171031;150000;5.74;5.74;5.7;5.7;2;0
ЦМТ ап;60;20171102;180000;5.92;5.92;5.92;5.92;1;0
ЦМТ ап;60;20171107;120000;5.92;5.92;5.8;5.8;4;0
ЦМТ ап;60;20171113;170000;5.88;6;5.88;6;28;0
ЦМТ ап;60;20171113;180000;6.05;6.25;6.05;6.25;53;0
ЦМТ ап;60;20171114;120000;6.07;6.07;5.75;6;11;0
ЦМТ ап;60;20171114;180000;5.9;5.9;5.9;5.9;2;0
ЦМТ ап;60;20171115;180000;5.98;5.98;5.98;5.98;1;0
ЦМТ ап;60;20171124;170000;5.96;5.96;5.51;5.51;10;0
ЦМТ ап;60;20171128;170000;5.81;5.81;5.81;5.81;1;0
ЦМТ ап;60;20171129;180000;5.88;5.88;5.88;5.88;31;0
ЦМТ ап;60;20171130;100000;5.73;5.84;5.73;5.84;2;0
