<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЧКПЗ ао;60;20170125;170000;2400;2400;2400;2400;1;0
ЧКПЗ ао;60;20170126;120000;2390;2390;2390;2390;1;0
ЧКПЗ ао;60;20170126;180000;2380;2380;2370;2370;2;0
ЧКПЗ ао;60;20170127;170000;2360;2390;2360;2390;2;0
ЧКПЗ ао;60;20170131;150000;2360;2360;2330;2330;4;0
ЧКПЗ ао;60;20170131;160000;2360;2420;2330;2330;14;0
ЧКПЗ ао;60;20170131;180000;2320;2320;2310;2310;2;0
ЧКПЗ ао;60;20170201;100000;2300;2300;2270;2270;4;0
ЧКПЗ ао;60;20170208;150000;2300;2980;2300;2620;69;0
ЧКПЗ ао;60;20170208;160000;2610;2610;2580;2580;5;0
ЧКПЗ ао;60;20170208;180000;2570;2570;2230;2530;16;0
ЧКПЗ ао;60;20170209;140000;2520;2520;2510;2510;2;0
ЧКПЗ ао;60;20170209;160000;2270;2270;2260;2260;4;0
ЧКПЗ ао;60;20170210;160000;2250;2250;2250;2250;1;0
ЧКПЗ ао;60;20170214;100000;2290;2290;2290;2290;1;0
ЧКПЗ ао;60;20170214;110000;2490;2530;2490;2490;6;0
ЧКПЗ ао;60;20170214;120000;2480;2480;2470;2470;2;0
ЧКПЗ ао;60;20170217;170000;2500;2500;2500;2500;1;0
ЧКПЗ ао;60;20170220;100000;2510;2510;2510;2510;1;0
ЧКПЗ ао;60;20170222;170000;2480;2480;2470;2470;2;0
ЧКПЗ ао;60;20170222;180000;2320;2320;2320;2320;2;0
ЧКПЗ ао;60;20170228;130000;2500;2500;2500;2500;6;0
ЧКПЗ ао;60;20170228;140000;2500;2520;2500;2520;9;0
ЧКПЗ ао;60;20170303;170000;2510;2510;2510;2510;1;0
ЧКПЗ ао;60;20170307;160000;2090;2110;2090;2110;3;0
ЧКПЗ ао;60;20170307;180000;2130;2150;2130;2150;2;0
ЧКПЗ ао;60;20170310;180000;2240;2240;2240;2240;1;0
ЧКПЗ ао;60;20170321;120000;2420;2430;2420;2430;2;0
ЧКПЗ ао;60;20170322;130000;2530;2530;2530;2530;5;0
ЧКПЗ ао;60;20170322;150000;2540;2550;2540;2550;3;0
ЧКПЗ ао;60;20170322;160000;2530;2560;2530;2560;2;0
ЧКПЗ ао;60;20170322;170000;2570;2570;2570;2570;1;0
ЧКПЗ ао;60;20170323;130000;2580;2590;2580;2590;2;0
ЧКПЗ ао;60;20170323;140000;2650;2650;2600;2600;2;0
ЧКПЗ ао;60;20170323;170000;2580;2580;2580;2580;1;0
ЧКПЗ ао;60;20170324;100000;2610;2660;2610;2660;4;0
ЧКПЗ ао;60;20170324;170000;2670;2670;2670;2670;1;0
ЧКПЗ ао;60;20170324;180000;2690;2690;2650;2650;4;0
ЧКПЗ ао;60;20170329;100000;2700;2700;2700;2700;1;0
ЧКПЗ ао;60;20170330;140000;2680;2680;2680;2680;1;0
ЧКПЗ ао;60;20170405;110000;2700;2740;2700;2740;4;0
ЧКПЗ ао;60;20170405;170000;2720;2720;2720;2720;1;0
ЧКПЗ ао;60;20170406;170000;2700;2700;2700;2700;1;0
ЧКПЗ ао;60;20170407;100000;2680;2680;2600;2600;5;0
ЧКПЗ ао;60;20170407;110000;2580;2580;2500;2500;5;0
ЧКПЗ ао;60;20170407;160000;2520;2520;2520;2520;1;0
ЧКПЗ ао;60;20170407;170000;2540;2540;2540;2540;1;0
ЧКПЗ ао;60;20170407;180000;2560;2560;2560;2560;1;0
ЧКПЗ ао;60;20170410;100000;2540;2540;2520;2520;4;0
ЧКПЗ ао;60;20170410;110000;2500;2500;2500;2500;2;0
ЧКПЗ ао;60;20170421;180000;2500;2500;2500;2500;1;0
ЧКПЗ ао;60;20170427;130000;2260;2260;2260;2260;1;0
ЧКПЗ ао;60;20170505;100000;2040;2070;2020;2020;18;0
ЧКПЗ ао;60;20170505;120000;2140;2140;2140;2140;1;0
ЧКПЗ ао;60;20170505;130000;2050;2090;2050;2090;11;0
ЧКПЗ ао;60;20170505;140000;2190;2400;2190;2190;7;0
ЧКПЗ ао;60;20170505;150000;2190;2190;2190;2190;1;0
ЧКПЗ ао;60;20170515;110000;2180;2180;2180;2180;1;0
ЧКПЗ ао;60;20170605;140000;2090;2090;2090;2090;1;0
ЧКПЗ ао;60;20170607;180000;2350;2350;2350;2350;1;0
ЧКПЗ ао;60;20170608;100000;2350;2350;2350;2350;1;0
ЧКПЗ ао;60;20170608;110000;2370;2370;2340;2340;3;0
ЧКПЗ ао;60;20170614;090000;2360;2360;2360;2360;1;0
ЧКПЗ ао;60;20170615;130000;2360;2360;2360;2360;1;0
ЧКПЗ ао;60;20170616;110000;2150;2280;2150;2260;9;0
ЧКПЗ ао;60;20170619;160000;2250;2250;2250;2250;1;0
ЧКПЗ ао;60;20170623;180000;2270;2270;2270;2270;1;0
ЧКПЗ ао;60;20170629;100000;2260;2260;2260;2260;1;0
