<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЧМК ао;60;20170124;100000;3970;3970;3970;3970;1;0
ЧМК ао;60;20170124;110000;3955;4000;3955;4000;28;0
ЧМК ао;60;20170124;120000;3970;3970;3905;3940;112;0
ЧМК ао;60;20170124;130000;3940;3940;3940;3940;2;0
ЧМК ао;60;20170124;160000;3970;3970;3965;3965;4;0
ЧМК ао;60;20170124;170000;3945;3975;3945;3975;85;0
ЧМК ао;60;20170125;100000;3970;3980;3970;3980;37;0
ЧМК ао;60;20170125;110000;3965;3970;3965;3965;9;0
ЧМК ао;60;20170125;120000;3970;3970;3940;3945;109;0
ЧМК ао;60;20170125;130000;3965;3985;3965;3985;8;0
ЧМК ао;60;20170125;140000;3980;3995;3980;3995;22;0
ЧМК ао;60;20170125;160000;3960;3985;3955;3985;15;0
ЧМК ао;60;20170125;170000;3965;3965;3965;3965;10;0
ЧМК ао;60;20170125;180000;3980;3980;3955;3955;3;0
ЧМК ао;60;20170126;110000;3985;3985;3985;3985;1;0
ЧМК ао;60;20170126;120000;3990;4005;3960;3975;25;0
ЧМК ао;60;20170126;160000;3970;3970;3970;3970;4;0
ЧМК ао;60;20170126;170000;3985;3995;3985;3995;4;0
ЧМК ао;60;20170126;180000;3990;3995;3990;3995;3;0
ЧМК ао;60;20170127;100000;3980;4160;3980;4040;121;0
ЧМК ао;60;20170127;110000;4055;4065;4055;4065;38;0
ЧМК ао;60;20170127;120000;4040;4055;4020;4055;29;0
ЧМК ао;60;20170127;130000;4045;4045;4010;4015;21;0
ЧМК ао;60;20170127;140000;4015;4045;3995;4025;56;0
ЧМК ао;60;20170127;150000;4030;4030;4030;4030;10;0
ЧМК ао;60;20170127;160000;4025;4025;4025;4025;1;0
ЧМК ао;60;20170127;170000;4015;4015;3980;3980;68;0
ЧМК ао;60;20170127;180000;3995;4025;3975;4020;52;0
ЧМК ао;60;20170130;100000;4020;4020;3980;3980;71;0
ЧМК ао;60;20170130;110000;4005;4010;4000;4000;5;0
ЧМК ао;60;20170130;120000;4000;4000;4000;4000;10;0
ЧМК ао;60;20170130;130000;4005;4415;4005;4265;602;0
ЧМК ао;60;20170130;140000;4275;4275;4120;4230;356;0
ЧМК ао;60;20170130;150000;4235;4455;4235;4400;348;0
ЧМК ао;60;20170130;160000;4365;4390;4310;4330;44;0
ЧМК ао;60;20170130;170000;4345;4400;4310;4355;63;0
ЧМК ао;60;20170130;180000;4350;4750;4350;4750;606;0
ЧМК ао;60;20170131;090000;4780;4780;4780;4780;5;0
ЧМК ао;60;20170131;100000;4780;5465;4760;5275;1731;0
ЧМК ао;60;20170131;110000;5260;5330;5100;5265;393;0
ЧМК ао;60;20170131;120000;5295;5885;5275;5860;2054;0
ЧМК ао;60;20170131;130000;5815;5965;5335;5505;1340;0
ЧМК ао;60;20170131;140000;5480;5785;5480;5700;1092;0
ЧМК ао;60;20170131;150000;5670;5700;5610;5700;114;0
ЧМК ао;60;20170131;160000;5690;5960;5640;5955;649;0
ЧМК ао;60;20170131;170000;5910;5945;5775;5895;213;0
ЧМК ао;60;20170131;180000;5865;6225;5840;6225;1913;0
ЧМК ао;60;20170201;090000;6300;6300;6300;6300;49;0
ЧМК ао;60;20170201;100000;6350;6380;5555;5940;2406;0
ЧМК ао;60;20170201;110000;5885;5910;5415;5440;987;0
ЧМК ао;60;20170201;120000;5435;5760;5400;5660;620;0
ЧМК ао;60;20170201;130000;5690;5720;5600;5615;109;0
ЧМК ао;60;20170201;140000;5615;5625;5550;5590;70;0
ЧМК ао;60;20170201;150000;5540;5585;5520;5550;65;0
ЧМК ао;60;20170201;160000;5540;5545;5450;5545;88;0
ЧМК ао;60;20170201;170000;5580;5700;5545;5645;138;0
ЧМК ао;60;20170201;180000;5635;5645;5550;5590;181;0
ЧМК ао;60;20170202;100000;5465;5555;5235;5400;411;0
ЧМК ао;60;20170202;110000;5430;5545;5430;5525;53;0
ЧМК ао;60;20170202;120000;5475;5475;5230;5405;131;0
ЧМК ао;60;20170202;130000;5420;5590;5420;5585;94;0
ЧМК ао;60;20170202;140000;5565;5700;5555;5630;109;0
ЧМК ао;60;20170202;150000;5600;5600;5600;5600;1;0
ЧМК ао;60;20170202;160000;5605;5605;5530;5530;25;0
ЧМК ао;60;20170202;170000;5535;5610;5420;5420;46;0
ЧМК ао;60;20170202;180000;5400;5400;5205;5270;269;0
ЧМК ао;60;20170203;100000;5385;5465;5310;5350;55;0
ЧМК ао;60;20170203;110000;5350;5500;5050;5500;311;0
