<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЧТПЗ ао;60;20170125;150000;114.6;114.6;112;112;2;0
ЧТПЗ ао;60;20170126;090000;121;121;121;121;5;0
ЧТПЗ ао;60;20170126;100000;121;135;120.1;127;495;0
ЧТПЗ ао;60;20170126;120000;127;127;126.5;126.5;24;0
ЧТПЗ ао;60;20170126;130000;126.5;127;126.5;127;9;0
ЧТПЗ ао;60;20170126;140000;126.5;126.5;126.5;126.5;3;0
ЧТПЗ ао;60;20170126;150000;126.5;126.5;126.5;126.5;12;0
ЧТПЗ ао;60;20170126;160000;126.5;126.5;126.5;126.5;17;0
ЧТПЗ ао;60;20170126;170000;126.8;126.8;126.6;126.6;17;0
ЧТПЗ ао;60;20170126;180000;126.6;126.7;126.6;126.7;12;0
ЧТПЗ ао;60;20170127;090000;138;138;138;138;50;0
ЧТПЗ ао;60;20170127;100000;137.8;138.3;136;136;247;0
ЧТПЗ ао;60;20170127;110000;136.2;136.3;136;136;32;0
ЧТПЗ ао;60;20170127;120000;136;136;136;136;25;0
ЧТПЗ ао;60;20170127;130000;136;136;136;136;10;0
ЧТПЗ ао;60;20170127;140000;136;136;136;136;1;0
ЧТПЗ ао;60;20170127;150000;136;136;136;136;6;0
ЧТПЗ ао;60;20170127;160000;136;136.1;136;136.1;11;0
ЧТПЗ ао;60;20170127;170000;136.1;136.2;136.1;136.2;14;0
ЧТПЗ ао;60;20170127;180000;136.2;136.2;136;136;8;0
ЧТПЗ ао;60;20170130;100000;136;136;136;136;15;0
ЧТПЗ ао;60;20170130;120000;136;136;136;136;26;0
ЧТПЗ ао;60;20170130;140000;136.1;136.1;136;136;5;0
ЧТПЗ ао;60;20170130;150000;136;136.1;136;136.1;11;0
ЧТПЗ ао;60;20170130;170000;136;136;136;136;4;0
ЧТПЗ ао;60;20170131;100000;136;136;136;136;316;0
ЧТПЗ ао;60;20170131;110000;136;136.1;136;136;37;0
ЧТПЗ ао;60;20170131;120000;136;136;136;136;5;0
ЧТПЗ ао;60;20170131;180000;136;136;136;136;7;0
ЧТПЗ ао;60;20170201;100000;136;136;136;136;1;0
ЧТПЗ ао;60;20170201;110000;136;136;136;136;1;0
ЧТПЗ ао;60;20170201;120000;136.1;136.1;136;136;7;0
ЧТПЗ ао;60;20170201;130000;136;136;136;136;1;0
ЧТПЗ ао;60;20170201;150000;136;136;136;136;1;0
ЧТПЗ ао;60;20170201;160000;136;136;136;136;6;0
ЧТПЗ ао;60;20170201;170000;136;136;136;136;2;0
ЧТПЗ ао;60;20170201;180000;136;136;136;136;6;0
ЧТПЗ ао;60;20170202;100000;136.3;136.5;136;136;4;0
ЧТПЗ ао;60;20170202;120000;136.1;136.3;136.1;136.3;11;0
ЧТПЗ ао;60;20170202;130000;136;136;136;136;3;0
ЧТПЗ ао;60;20170202;160000;136;136;136;136;2;0
ЧТПЗ ао;60;20170202;180000;136;136;136;136;2;0
ЧТПЗ ао;60;20170203;120000;132;134;132;134;2;0
ЧТПЗ ао;60;20170203;130000;134;134;134;134;1;0
ЧТПЗ ао;60;20170203;150000;132.1;132.1;132;132;3;0
ЧТПЗ ао;60;20170203;160000;132;134;132;134;15;0
ЧТПЗ ао;60;20170206;100000;127.5;130;127.5;128;4;0
ЧТПЗ ао;60;20170206;110000;124;126;124;124;5;0
ЧТПЗ ао;60;20170206;130000;130;130;126;129.5;10;0
