<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЧелябЭС ао;60;20170124;100000;0.1305;0.132;0.1305;0.132;6;0
ЧелябЭС ао;60;20170124;130000;0.1305;0.1305;0.128;0.129;11;0
ЧелябЭС ао;60;20170124;140000;0.1295;0.1295;0.1275;0.1275;9;0
ЧелябЭС ао;60;20170124;160000;0.1285;0.1285;0.1285;0.1285;1;0
ЧелябЭС ао;60;20170124;170000;0.129;0.129;0.129;0.129;1;0
ЧелябЭС ао;60;20170125;160000;0.13;0.13;0.13;0.13;7;0
ЧелябЭС ао;60;20170125;170000;0.1305;0.1315;0.1305;0.1315;4;0
ЧелябЭС ао;60;20170126;100000;0.1305;0.1305;0.1305;0.1305;1;0
ЧелябЭС ао;60;20170126;130000;0.13;0.13;0.13;0.13;1;0
ЧелябЭС ао;60;20170126;170000;0.13;0.13;0.13;0.13;39;0
ЧелябЭС ао;60;20170126;180000;0.1305;0.1305;0.1305;0.1305;1;0
ЧелябЭС ао;60;20170127;100000;0.132;0.132;0.132;0.132;41;0
ЧелябЭС ао;60;20170127;110000;0.1305;0.1305;0.1305;0.1305;1;0
ЧелябЭС ао;60;20170127;130000;0.13;0.13;0.125;0.125;70;0
ЧелябЭС ао;60;20170127;140000;0.126;0.127;0.126;0.127;4;0
ЧелябЭС ао;60;20170127;150000;0.1275;0.1285;0.1275;0.1285;4;0
ЧелябЭС ао;60;20170127;180000;0.129;0.1295;0.129;0.1295;2;0
ЧелябЭС ао;60;20170130;120000;0.129;0.129;0.1265;0.1265;25;0
ЧелябЭС ао;60;20170130;140000;0.1265;0.1265;0.1265;0.1265;2;0
ЧелябЭС ао;60;20170130;150000;0.127;0.1275;0.127;0.1275;11;0
ЧелябЭС ао;60;20170130;160000;0.128;0.128;0.128;0.128;1;0
ЧелябЭС ао;60;20170130;170000;0.1285;0.1385;0.1285;0.1305;35;0
ЧелябЭС ао;60;20170130;180000;0.1305;0.1315;0.1305;0.1315;2;0
ЧелябЭС ао;60;20170131;130000;0.131;0.131;0.131;0.131;1;0
ЧелябЭС ао;60;20170131;180000;0.1305;0.1305;0.1305;0.1305;1;0
ЧелябЭС ао;60;20170201;100000;0.1305;0.1305;0.126;0.126;3;0
ЧелябЭС ао;60;20170201;120000;0.13;0.13;0.1295;0.1295;2;0
ЧелябЭС ао;60;20170202;130000;0.1295;0.1295;0.1295;0.1295;1;0
ЧелябЭС ао;60;20170202;170000;0.13;0.13;0.13;0.13;100;0
