<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЧеркизГ-ао;60;20170124;100000;808;811;808;811;22;0
ЧеркизГ-ао;60;20170124;110000;810;812;810;812;188;0
ЧеркизГ-ао;60;20170124;120000;813;813;813;813;8;0
ЧеркизГ-ао;60;20170124;130000;813;814;813;814;478;0
ЧеркизГ-ао;60;20170124;140000;814;816;814;816;200;0
ЧеркизГ-ао;60;20170124;150000;815;816;814;814;15;0
ЧеркизГ-ао;60;20170124;160000;816;818;814;818;283;0
ЧеркизГ-ао;60;20170124;170000;816;818;816;818;72;0
ЧеркизГ-ао;60;20170124;180000;817;819;816;816;142;0
ЧеркизГ-ао;60;20170125;100000;812;819;811;819;631;0
ЧеркизГ-ао;60;20170125;110000;820;820;815;815;72;0
ЧеркизГ-ао;60;20170125;120000;815;816;811;811;339;0
ЧеркизГ-ао;60;20170125;130000;813;816;813;814;60;0
ЧеркизГ-ао;60;20170125;140000;813;815;813;815;5;0
ЧеркизГ-ао;60;20170125;150000;815;817;815;817;84;0
ЧеркизГ-ао;60;20170125;160000;815;815;810;810;594;0
ЧеркизГ-ао;60;20170125;170000;810;814;810;814;51;0
ЧеркизГ-ао;60;20170125;180000;811;811;810;810;134;0
ЧеркизГ-ао;60;20170126;090000;815;815;815;815;1;0
ЧеркизГ-ао;60;20170126;100000;820;827;820;822;183;0
ЧеркизГ-ао;60;20170126;110000;822;823;821;823;400;0
ЧеркизГ-ао;60;20170126;120000;823;823;819;821;284;0
ЧеркизГ-ао;60;20170126;130000;820;823;818;821;199;0
ЧеркизГ-ао;60;20170126;140000;821;821;821;821;114;0
ЧеркизГ-ао;60;20170126;150000;821;823;821;823;253;0
ЧеркизГ-ао;60;20170126;160000;821;821;819;819;251;0
ЧеркизГ-ао;60;20170126;170000;821;821;821;821;2;0
ЧеркизГ-ао;60;20170126;180000;821;823;821;821;80;0
ЧеркизГ-ао;60;20170127;100000;824;824;818;821;505;0
ЧеркизГ-ао;60;20170127;110000;820;823;817;817;194;0
ЧеркизГ-ао;60;20170127;120000;820;820;820;820;30;0
ЧеркизГ-ао;60;20170127;130000;821;823;821;823;124;0
ЧеркизГ-ао;60;20170127;140000;820;823;820;823;585;0
ЧеркизГ-ао;60;20170127;150000;823;823;823;823;8;0
ЧеркизГ-ао;60;20170127;160000;823;823;821;821;172;0
ЧеркизГ-ао;60;20170127;170000;821;821;819;819;79;0
ЧеркизГ-ао;60;20170127;180000;821;823;821;821;31;0
ЧеркизГ-ао;60;20170130;100000;825;827;820;827;390;0
ЧеркизГ-ао;60;20170130;110000;825;825;825;825;10;0
ЧеркизГ-ао;60;20170130;120000;827;829;826;828;745;0
ЧеркизГ-ао;60;20170130;130000;828;829;828;829;186;0
ЧеркизГ-ао;60;20170130;140000;827;829;819;821;613;0
ЧеркизГ-ао;60;20170130;150000;820;823;819;823;31;0
ЧеркизГ-ао;60;20170130;160000;822;823;821;821;89;0
ЧеркизГ-ао;60;20170130;170000;823;825;822;823;1979;0
ЧеркизГ-ао;60;20170130;180000;821;823;820;823;255;0
ЧеркизГ-ао;60;20170131;090000;818;818;818;818;2;0
ЧеркизГ-ао;60;20170131;100000;819;823;819;823;24;0
ЧеркизГ-ао;60;20170131;110000;822;822;821;821;120;0
ЧеркизГ-ао;60;20170131;120000;823;823;823;823;130;0
ЧеркизГ-ао;60;20170131;130000;823;826;819;822;3662;0
ЧеркизГ-ао;60;20170131;140000;819;820;818;820;6;0
ЧеркизГ-ао;60;20170131;150000;822;824;822;824;97;0
ЧеркизГ-ао;60;20170131;160000;824;826;824;826;35;0
ЧеркизГ-ао;60;20170131;170000;826;827;826;827;9;0
ЧеркизГ-ао;60;20170131;180000;827;827;825;827;251;0
ЧеркизГ-ао;60;20170201;100000;825;829;823;825;172;0
ЧеркизГ-ао;60;20170201;110000;825;832;825;831;642;0
ЧеркизГ-ао;60;20170201;120000;831;838;830;832;386;0
ЧеркизГ-ао;60;20170201;130000;832;833;831;833;217;0
ЧеркизГ-ао;60;20170201;140000;831;832;830;832;9;0
ЧеркизГ-ао;60;20170201;150000;830;833;830;831;40;0
ЧеркизГ-ао;60;20170201;160000;833;835;833;834;107;0
ЧеркизГ-ао;60;20170201;170000;833;833;833;833;49;0
ЧеркизГ-ао;60;20170201;180000;833;833;831;831;284;0
ЧеркизГ-ао;60;20170202;100000;839;839;832;832;102;0
ЧеркизГ-ао;60;20170202;110000;834;840;834;840;601;0
ЧеркизГ-ао;60;20170202;120000;838;840;838;840;158;0
ЧеркизГ-ао;60;20170202;130000;840;845;840;842;194;0
ЧеркизГ-ао;60;20170202;140000;842;843;838;838;341;0
ЧеркизГ-ао;60;20170202;150000;839;839;838;838;4;0
ЧеркизГ-ао;60;20170202;160000;839;839;834;834;766;0
ЧеркизГ-ао;60;20170202;170000;838;841;837;841;407;0
ЧеркизГ-ао;60;20170202;180000;837;837;834;835;114;0
ЧеркизГ-ао;60;20170203;100000;835;835;832;833;1153;0
ЧеркизГ-ао;60;20170203;110000;836;838;833;838;93;0
ЧеркизГ-ао;60;20170203;120000;838;839;836;839;130;0
ЧеркизГ-ао;60;20170203;130000;839;839;839;839;212;0
ЧеркизГ-ао;60;20170203;140000;838;845;838;844;247;0
ЧеркизГ-ао;60;20170203;150000;842;849;842;845;139;0
ЧеркизГ-ао;60;20170203;160000;844;844;842;844;56;0
ЧеркизГ-ао;60;20170203;170000;844;849;844;845;183;0
ЧеркизГ-ао;60;20170203;180000;845;845;840;840;133;0
ЧеркизГ-ао;60;20170206;100000;843;848;843;844;364;0
ЧеркизГ-ао;60;20170206;110000;844;844;843;843;85;0
ЧеркизГ-ао;60;20170206;120000;847;847;845;845;15;0
ЧеркизГ-ао;60;20170206;130000;844;845;844;845;33;0
ЧеркизГ-ао;60;20170206;140000;844;844;844;844;11;0
ЧеркизГ-ао;60;20170206;150000;846;846;846;846;2;0
ЧеркизГ-ао;60;20170206;160000;845;845;845;845;3;0
ЧеркизГ-ао;60;20170206;170000;845;845;843;843;70;0
ЧеркизГ-ао;60;20170206;180000;843;843;842;842;66;0
ЧеркизГ-ао;60;20170207;100000;840;844;840;842;252;0
ЧеркизГ-ао;60;20170207;110000;843;843;843;843;2;0
ЧеркизГ-ао;60;20170207;120000;843;847;840;845;523;0
ЧеркизГ-ао;60;20170207;130000;845;847;845;845;111;0
ЧеркизГ-ао;60;20170207;140000;848;848;845;845;11;0
ЧеркизГ-ао;60;20170207;150000;846;847;845;847;119;0
ЧеркизГ-ао;60;20170207;160000;847;847;847;847;10;0
ЧеркизГ-ао;60;20170207;170000;847;847;847;847;25;0
ЧеркизГ-ао;60;20170207;180000;846;846;845;845;19;0
ЧеркизГ-ао;60;20170208;100000;845;847;842;842;200;0
ЧеркизГ-ао;60;20170208;110000;846;850;845;846;197;0
ЧеркизГ-ао;60;20170208;120000;848;850;847;850;169;0
ЧеркизГ-ао;60;20170208;130000;850;850;846;850;136;0
ЧеркизГ-ао;60;20170208;140000;850;850;850;850;104;0
ЧеркизГ-ао;60;20170208;150000;848;849;848;849;24;0
ЧеркизГ-ао;60;20170208;160000;849;849;849;849;10;0
ЧеркизГ-ао;60;20170208;170000;847;849;845;846;136;0
ЧеркизГ-ао;60;20170208;180000;846;846;845;845;32;0
ЧеркизГ-ао;60;20170209;090000;830;830;830;830;4;0
ЧеркизГ-ао;60;20170209;100000;844;846;844;846;430;0
ЧеркизГ-ао;60;20170209;110000;846;850;846;848;565;0
ЧеркизГ-ао;60;20170209;120000;848;850;845;846;107;0
