<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Электрцинк;60;20170124;110000;720;720;718;718;7;0
Электрцинк;60;20170124;120000;718;718;700;711;118;0
Электрцинк;60;20170124;140000;714;720;712;714;202;0
Электрцинк;60;20170124;150000;720;724;713;724;57;0
Электрцинк;60;20170124;160000;716;720;716;720;28;0
Электрцинк;60;20170124;170000;720;727;720;727;93;0
Электрцинк;60;20170124;180000;721;725;720;725;16;0
Электрцинк;60;20170125;100000;725;725;725;725;20;0
Электрцинк;60;20170125;110000;723;725;723;725;148;0
Электрцинк;60;20170125;120000;719;719;718;718;18;0
Электрцинк;60;20170125;130000;718;724;718;724;2;0
Электрцинк;60;20170125;150000;724;724;724;724;1;0
Электрцинк;60;20170125;160000;724;725;724;725;119;0
Электрцинк;60;20170125;170000;725;725;725;725;50;0
Электрцинк;60;20170125;180000;725;725;725;725;50;0
Электрцинк;60;20170126;100000;722;750;720;750;449;0
Электрцинк;60;20170126;110000;740;740;740;740;50;0
Электрцинк;60;20170126;120000;740;740;740;740;55;0
Электрцинк;60;20170126;150000;736;736;729;729;34;0
Электрцинк;60;20170126;170000;734;739;734;739;55;0
Электрцинк;60;20170126;180000;729;740;729;740;3;0
Электрцинк;60;20170127;100000;738;738;736;736;11;0
Электрцинк;60;20170127;120000;738;740;738;740;114;0
Электрцинк;60;20170127;130000;740;741;739;741;66;0
Электрцинк;60;20170127;140000;742;742;740;740;4;0
Электрцинк;60;20170127;150000;741;741;738;738;53;0
Электрцинк;60;20170127;160000;742;744;742;744;55;0
Электрцинк;60;20170127;170000;740;740;740;740;6;0
Электрцинк;60;20170130;100000;745;755;745;749;223;0
Электрцинк;60;20170130;110000;749;749;749;749;19;0
Электрцинк;60;20170130;120000;748;749;748;749;29;0
Электрцинк;60;20170130;130000;748;748;740;748;186;0
Электрцинк;60;20170130;140000;745;745;745;745;3;0
