<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЭнелРос ао;60;20170124;100000;1.089;1.095;1.073;1.095;4229;0
ЭнелРос ао;60;20170124;110000;1.095;1.095;1.091;1.093;957;0
ЭнелРос ао;60;20170124;120000;1.094;1.095;1.083;1.093;1442;0
ЭнелРос ао;60;20170124;130000;1.093;1.094;1.087;1.094;956;0
ЭнелРос ао;60;20170124;140000;1.094;1.105;1.091;1.1;13700;0
ЭнелРос ао;60;20170124;150000;1.1;1.1;1.094;1.094;229;0
ЭнелРос ао;60;20170124;160000;1.094;1.099;1.093;1.096;335;0
ЭнелРос ао;60;20170124;170000;1.096;1.098;1.089;1.091;1050;0
ЭнелРос ао;60;20170124;180000;1.091;1.098;1.088;1.098;1169;0
ЭнелРос ао;60;20170125;100000;1.107;1.108;1.09;1.095;1355;0
ЭнелРос ао;60;20170125;110000;1.095;1.097;1.092;1.092;785;0
ЭнелРос ао;60;20170125;120000;1.093;1.096;1.091;1.095;114;0
ЭнелРос ао;60;20170125;130000;1.094;1.095;1.09;1.091;232;0
ЭнелРос ао;60;20170125;140000;1.093;1.097;1.093;1.096;3660;0
ЭнелРос ао;60;20170125;150000;1.095;1.1;1.09;1.1;4911;0
ЭнелРос ао;60;20170125;160000;1.099;1.1;1.093;1.1;818;0
ЭнелРос ао;60;20170125;170000;1.099;1.1;1.093;1.097;1204;0
ЭнелРос ао;60;20170125;180000;1.095;1.096;1.085;1.085;2035;0
ЭнелРос ао;60;20170126;090000;1.085;1.085;1.085;1.085;10;0
ЭнелРос ао;60;20170126;100000;1.099;1.108;1.088;1.093;868;0
ЭнелРос ао;60;20170126;110000;1.091;1.099;1.087;1.09;2940;0
ЭнелРос ао;60;20170126;120000;1.095;1.095;1.09;1.092;908;0
ЭнелРос ао;60;20170126;130000;1.096;1.098;1.092;1.096;1100;0
ЭнелРос ао;60;20170126;140000;1.097;1.103;1.097;1.1;948;0
ЭнелРос ао;60;20170126;150000;1.1;1.101;1.092;1.097;675;0
ЭнелРос ао;60;20170126;160000;1.093;1.097;1.093;1.096;257;0
ЭнелРос ао;60;20170126;170000;1.095;1.095;1.092;1.092;476;0
ЭнелРос ао;60;20170126;180000;1.092;1.102;1.09;1.101;2792;0
ЭнелРос ао;60;20170127;100000;1.09;1.139;1.09;1.139;13150;0
ЭнелРос ао;60;20170127;110000;1.138;1.165;1.135;1.162;24040;0
ЭнелРос ао;60;20170127;120000;1.161;1.169;1.15;1.16;33854;0
ЭнелРос ао;60;20170127;130000;1.16;1.169;1.16;1.169;2788;0
ЭнелРос ао;60;20170127;140000;1.167;1.169;1.156;1.16;1787;0
ЭнелРос ао;60;20170127;150000;1.163;1.175;1.163;1.168;1601;0
ЭнелРос ао;60;20170127;160000;1.167;1.175;1.162;1.175;2203;0
ЭнелРос ао;60;20170127;170000;1.172;1.179;1.163;1.175;18145;0
ЭнелРос ао;60;20170127;180000;1.171;1.18;1.17;1.179;7711;0
ЭнелРос ао;60;20170130;090000;1.178;1.178;1.178;1.178;1;0
ЭнелРос ао;60;20170130;100000;1.161;1.21;1.161;1.194;10099;0
ЭнелРос ао;60;20170130;110000;1.197;1.209;1.194;1.202;3028;0
ЭнелРос ао;60;20170130;120000;1.202;1.21;1.199;1.204;3988;0
ЭнелРос ао;60;20170130;130000;1.203;1.208;1.201;1.205;1714;0
ЭнелРос ао;60;20170130;140000;1.204;1.204;1.19;1.195;6705;0
ЭнелРос ао;60;20170130;150000;1.203;1.203;1.2;1.2;6706;0
ЭнелРос ао;60;20170130;160000;1.2;1.203;1.2;1.202;7882;0
ЭнелРос ао;60;20170130;170000;1.2;1.204;1.195;1.198;9239;0
ЭнелРос ао;60;20170130;180000;1.198;1.199;1.18;1.189;10249;0
ЭнелРос ао;60;20170131;090000;1.162;1.162;1.162;1.162;166;0
ЭнелРос ао;60;20170131;100000;1.177;1.213;1.16;1.165;7985;0
ЭнелРос ао;60;20170131;110000;1.166;1.166;1.134;1.152;8110;0
ЭнелРос ао;60;20170131;120000;1.156;1.16;1.151;1.152;1280;0
ЭнелРос ао;60;20170131;130000;1.153;1.159;1.153;1.154;343;0
ЭнелРос ао;60;20170131;140000;1.155;1.16;1.152;1.16;926;0
ЭнелРос ао;60;20170131;150000;1.16;1.164;1.153;1.164;1783;0
ЭнелРос ао;60;20170131;160000;1.164;1.179;1.164;1.175;1183;0
ЭнелРос ао;60;20170131;170000;1.175;1.177;1.166;1.168;579;0
ЭнелРос ао;60;20170131;180000;1.168;1.17;1.163;1.17;893;0
ЭнелРос ао;60;20170201;100000;1.179;1.199;1.152;1.19;5492;0
ЭнелРос ао;60;20170201;110000;1.19;1.194;1.181;1.181;650;0
ЭнелРос ао;60;20170201;120000;1.181;1.2;1.172;1.192;4127;0
ЭнелРос ао;60;20170201;130000;1.195;1.195;1.171;1.179;2248;0
ЭнелРос ао;60;20170201;140000;1.18;1.18;1.161;1.164;2529;0
ЭнелРос ао;60;20170201;150000;1.163;1.169;1.16;1.163;999;0
ЭнелРос ао;60;20170201;160000;1.164;1.167;1.161;1.162;82;0
ЭнелРос ао;60;20170201;170000;1.166;1.167;1.155;1.159;2106;0
ЭнелРос ао;60;20170201;180000;1.163;1.171;1.159;1.16;1812;0
ЭнелРос ао;60;20170202;100000;1.175;1.188;1.157;1.159;1752;0
ЭнелРос ао;60;20170202;110000;1.159;1.169;1.159;1.16;846;0
ЭнелРос ао;60;20170202;120000;1.16;1.165;1.154;1.155;757;0
ЭнелРос ао;60;20170202;130000;1.157;1.163;1.156;1.16;651;0
ЭнелРос ао;60;20170202;140000;1.158;1.164;1.155;1.16;174;0
ЭнелРос ао;60;20170202;150000;1.163;1.17;1.157;1.168;2104;0
