<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЭнергияРКК;60;20170124;100000;5970;5970;5950;5950;13;0
ЭнергияРКК;60;20170124;110000;5960;5960;5950;5950;15;0
ЭнергияРКК;60;20170124;140000;5930;5930;5920;5930;4;0
ЭнергияРКК;60;20170124;150000;6010;6020;6010;6020;2;0
ЭнергияРКК;60;20170124;160000;5980;6000;5970;6000;14;0
ЭнергияРКК;60;20170124;170000;5990;5990;5990;5990;1;0
ЭнергияРКК;60;20170124;180000;5990;5990;5990;5990;1;0
ЭнергияРКК;60;20170125;100000;5960;6020;5820;5820;41;0
ЭнергияРКК;60;20170125;110000;5900;5900;5890;5900;7;0
ЭнергияРКК;60;20170125;120000;5950;5990;5950;5990;5;0
ЭнергияРКК;60;20170125;140000;5980;5980;5980;5980;1;0
ЭнергияРКК;60;20170125;150000;5980;5980;5980;5980;2;0
ЭнергияРКК;60;20170125;160000;5980;5980;5950;5950;2;0
ЭнергияРКК;60;20170126;100000;5930;5950;5830;5830;57;0
ЭнергияРКК;60;20170126;110000;5820;5850;5800;5840;36;0
ЭнергияРКК;60;20170126;120000;5850;5870;5850;5850;6;0
ЭнергияРКК;60;20170126;130000;5850;5850;5850;5850;10;0
ЭнергияРКК;60;20170126;140000;5900;6000;5900;6000;14;0
ЭнергияРКК;60;20170126;150000;5970;5990;5970;5990;5;0
ЭнергияРКК;60;20170126;160000;5990;5990;5990;5990;5;0
ЭнергияРКК;60;20170126;170000;5970;5980;5970;5980;2;0
ЭнергияРКК;60;20170126;180000;5980;5980;5980;5980;1;0
ЭнергияРКК;60;20170127;100000;5860;5870;5860;5860;12;0
ЭнергияРКК;60;20170127;110000;5900;5950;5900;5900;7;0
ЭнергияРКК;60;20170127;120000;5860;5860;5850;5850;20;0
ЭнергияРКК;60;20170127;130000;5850;5850;5850;5850;1;0
ЭнергияРКК;60;20170127;160000;5890;5890;5890;5890;2;0
ЭнергияРКК;60;20170127;170000;5870;5870;5790;5790;170;0
ЭнергияРКК;60;20170127;180000;5870;5900;5870;5900;6;0
ЭнергияРКК;60;20170130;100000;5810;5810;5640;5780;87;0
ЭнергияРКК;60;20170130;110000;5710;5800;5670;5800;39;0
ЭнергияРКК;60;20170130;120000;5810;5810;5810;5810;10;0
ЭнергияРКК;60;20170130;160000;5810;5810;5740;5770;31;0
ЭнергияРКК;60;20170130;180000;5790;5790;5790;5790;4;0
ЭнергияРКК;60;20170131;110000;5760;5760;5700;5700;10;0
ЭнергияРКК;60;20170131;120000;5700;5700;5700;5700;19;0
ЭнергияРКК;60;20170131;130000;5700;5700;5700;5700;6;0
ЭнергияРКК;60;20170131;140000;5730;5750;5730;5750;16;0
ЭнергияРКК;60;20170131;150000;5740;5740;5740;5740;20;0
ЭнергияРКК;60;20170131;160000;5750;5750;5750;5750;4;0
ЭнергияРКК;60;20170131;170000;5740;5740;5700;5700;10;0
ЭнергияРКК;60;20170131;180000;5710;5710;5710;5710;1;0
ЭнергияРКК;60;20170201;100000;5730;5820;5720;5820;29;0
ЭнергияРКК;60;20170201;120000;5800;5800;5800;5800;10;0
ЭнергияРКК;60;20170201;130000;5800;5820;5800;5820;6;0
ЭнергияРКК;60;20170201;140000;5790;5800;5790;5800;2;0
ЭнергияРКК;60;20170201;150000;5800;5820;5760;5760;7;0
ЭнергияРКК;60;20170201;160000;5790;5790;5790;5790;1;0
ЭнергияРКК;60;20170201;180000;5790;5790;5790;5790;2;0
ЭнергияРКК;60;20170202;100000;5790;5800;5790;5800;6;0
ЭнергияРКК;60;20170202;110000;5840;6050;5840;6050;12;0
ЭнергияРКК;60;20170202;120000;5960;5990;5960;5990;3;0
ЭнергияРКК;60;20170202;130000;6000;6000;6000;6000;1;0
ЭнергияРКК;60;20170202;140000;5980;5980;5980;5980;1;0
ЭнергияРКК;60;20170202;170000;5980;5980;5980;5980;1;0
ЭнергияРКК;60;20170202;180000;5990;6200;5990;6200;170;0
ЭнергияРКК;60;20170203;100000;6100;6200;6100;6200;122;0
ЭнергияРКК;60;20170203;110000;6000;6000;5900;5900;85;0
ЭнергияРКК;60;20170203;120000;5870;5990;5700;5990;87;0
ЭнергияРКК;60;20170203;140000;5970;5970;5800;5920;8;0
ЭнергияРКК;60;20170203;150000;5880;5970;5880;5970;3;0
ЭнергияРКК;60;20170203;160000;5980;5980;5980;5980;1;0
ЭнергияРКК;60;20170203;180000;5980;6030;5980;6030;7;0
ЭнергияРКК;60;20170206;100000;5840;5850;5840;5850;4;0
ЭнергияРКК;60;20170206;110000;5940;5940;5940;5940;2;0
ЭнергияРКК;60;20170206;120000;5880;5880;5880;5880;2;0
ЭнергияРКК;60;20170206;170000;5890;5930;5890;5930;2;0
ЭнергияРКК;60;20170206;180000;5890;5890;5890;5890;1;0
ЭнергияРКК;60;20170207;100000;5970;5970;5970;5970;1;0
ЭнергияРКК;60;20170207;110000;5980;6030;5980;6010;10;0
ЭнергияРКК;60;20170207;130000;6010;6010;6010;6010;6;0
ЭнергияРКК;60;20170207;140000;6010;6020;5970;5970;19;0
ЭнергияРКК;60;20170207;150000;6010;6020;6010;6020;6;0
ЭнергияРКК;60;20170207;160000;6020;6020;5990;5990;2;0
ЭнергияРКК;60;20170207;170000;5990;5990;5980;5980;5;0
ЭнергияРКК;60;20170207;180000;5990;5990;5980;5980;5;0
ЭнергияРКК;60;20170208;100000;6000;6200;5880;5880;101;0
ЭнергияРКК;60;20170208;120000;5970;5970;5950;5950;7;0
ЭнергияРКК;60;20170208;130000;5930;5930;5930;5930;3;0
ЭнергияРКК;60;20170208;150000;6030;6040;6030;6040;4;0
ЭнергияРКК;60;20170208;160000;5950;5950;5900;5900;28;0
ЭнергияРКК;60;20170208;180000;5900;5940;5800;5940;51;0
ЭнергияРКК;60;20170209;100000;5930;6060;5930;6060;17;0
ЭнергияРКК;60;20170209;110000;6030;6060;5880;5880;13;0
ЭнергияРКК;60;20170209;120000;5880;5880;5880;5880;2;0
ЭнергияРКК;60;20170209;130000;5980;5980;5900;5900;2;0
ЭнергияРКК;60;20170209;150000;5900;5900;5900;5900;2;0
ЭнергияРКК;60;20170209;170000;5870;5870;5870;5870;1;0
ЭнергияРКК;60;20170210;100000;5980;5990;5980;5990;3;0
ЭнергияРКК;60;20170210;110000;5990;5990;5990;5990;1;0
ЭнергияРКК;60;20170210;120000;5940;5940;5790;5890;51;0
ЭнергияРКК;60;20170210;130000;5890;5890;5790;5800;21;0
ЭнергияРКК;60;20170210;140000;5800;5800;5790;5790;7;0
ЭнергияРКК;60;20170210;150000;5790;5800;5790;5800;3;0
ЭнергияРКК;60;20170210;160000;5800;5800;5690;5690;51;0
