<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЮТэйр ао;60;20170124;100000;10.26;10.26;10.26;10.26;1;0
ЮТэйр ао;60;20170124;110000;10.21;10.22;10.21;10.22;2;0
ЮТэйр ао;60;20170124;120000;10.23;10.27;10.23;10.27;8;0
ЮТэйр ао;60;20170124;130000;10.24;10.24;10.23;10.24;101;0
ЮТэйр ао;60;20170124;140000;10.24;10.38;10.24;10.38;83;0
ЮТэйр ао;60;20170124;180000;10.34;10.34;10.34;10.34;1;0
ЮТэйр ао;60;20170125;100000;10.34;10.34;10.34;10.34;5;0
ЮТэйр ао;60;20170125;110000;10.33;10.36;8.68;10.21;561;0
ЮТэйр ао;60;20170125;120000;10.19;10.2;10.19;10.19;11;0
ЮТэйр ао;60;20170125;140000;10.13;10.13;10.04;10.04;66;0
ЮТэйр ао;60;20170125;150000;10.15;10.15;10.15;10.15;1;0
ЮТэйр ао;60;20170125;160000;10.16;10.17;10.13;10.13;5;0
ЮТэйр ао;60;20170125;170000;10.14;10.16;10.13;10.16;4;0
ЮТэйр ао;60;20170125;180000;10.13;10.17;10.1;10.1;35;0
ЮТэйр ао;60;20170126;100000;10.11;10.11;10.1;10.1;2;0
ЮТэйр ао;60;20170126;110000;10.14;10.16;10.14;10.16;3;0
ЮТэйр ао;60;20170126;120000;10.14;10.14;10.14;10.14;5;0
ЮТэйр ао;60;20170126;130000;10.11;10.11;10.11;10.11;3;0
ЮТэйр ао;60;20170126;140000;10.12;10.12;9.94;10;378;0
ЮТэйр ао;60;20170126;150000;10;10.14;9.99;10.04;112;0
ЮТэйр ао;60;20170126;160000;10.07;10.08;9.99;10;14;0
ЮТэйр ао;60;20170126;170000;10;10;9.9;9.9;278;0
ЮТэйр ао;60;20170126;180000;9.99;10.05;9.9;9.9;193;0
ЮТэйр ао;60;20170127;100000;9.94;9.96;9.82;9.9;43;0
ЮТэйр ао;60;20170127;110000;9.9;9.9;9.8;9.8;130;0
ЮТэйр ао;60;20170127;120000;9.84;9.9;9.84;9.89;210;0
ЮТэйр ао;60;20170127;130000;9.88;9.89;9.7;9.84;408;0
ЮТэйр ао;60;20170127;140000;9.82;9.82;9.76;9.82;42;0
ЮТэйр ао;60;20170127;150000;9.81;9.89;9.81;9.89;25;0
ЮТэйр ао;60;20170127;160000;9.88;9.9;9.88;9.89;21;0
ЮТэйр ао;60;20170127;170000;9.88;9.88;9.88;9.88;1;0
ЮТэйр ао;60;20170127;180000;9.88;9.9;9.88;9.9;68;0
ЮТэйр ао;60;20170130;100000;9.87;9.9;9.87;9.89;43;0
ЮТэйр ао;60;20170130;110000;9.9;9.9;9.89;9.89;96;0
ЮТэйр ао;60;20170130;120000;9.89;9.9;9.89;9.9;30;0
ЮТэйр ао;60;20170130;130000;9.9;9.9;9.9;9.9;50;0
ЮТэйр ао;60;20170130;140000;9.9;9.9;9.9;9.9;5;0
ЮТэйр ао;60;20170130;160000;9.86;9.86;9.86;9.86;2;0
ЮТэйр ао;60;20170130;170000;9.9;9.96;9.9;9.95;20;0
ЮТэйр ао;60;20170130;180000;9.95;9.95;9.94;9.95;4;0
ЮТэйр ао;60;20170131;090000;9.98;9.98;9.98;9.98;2;0
ЮТэйр ао;60;20170131;100000;9.98;9.98;9.98;9.98;9;0
ЮТэйр ао;60;20170131;110000;9.93;9.97;9.91;9.92;23;0
ЮТэйр ао;60;20170131;120000;9.97;10;9.97;10;76;0
ЮТэйр ао;60;20170131;130000;10;10;10;10;10;0
ЮТэйр ао;60;20170131;140000;10;10.07;10;10.07;156;0
ЮТэйр ао;60;20170131;150000;9.98;9.98;9.98;9.98;2;0
ЮТэйр ао;60;20170131;180000;10.06;10.09;10.06;10.09;27;0
ЮТэйр ао;60;20170201;100000;10.09;10.1;10.09;10.1;256;0
ЮТэйр ао;60;20170201;110000;10.11;10.26;10.11;10.22;52;0
ЮТэйр ао;60;20170201;120000;10.22;10.24;10.06;10.06;364;0
ЮТэйр ао;60;20170201;130000;10.05;10.14;9.99;9.99;127;0
ЮТэйр ао;60;20170201;140000;10.13;10.15;10.12;10.15;111;0
ЮТэйр ао;60;20170201;150000;10.14;10.16;10.14;10.16;13;0
ЮТэйр ао;60;20170201;160000;10.07;10.16;10;10.05;141;0
ЮТэйр ао;60;20170201;170000;10.06;10.15;9.99;10.13;417;0
ЮТэйр ао;60;20170201;180000;10.13;10.22;10.11;10.11;159;0
ЮТэйр ао;60;20170202;100000;9.98;10.18;9.96;10.1;50;0
ЮТэйр ао;60;20170202;110000;10.1;10.1;10.1;10.1;3;0
ЮТэйр ао;60;20170202;120000;10.1;10.13;10.1;10.13;3;0
ЮТэйр ао;60;20170202;130000;10.14;10.19;10.14;10.19;34;0
ЮТэйр ао;60;20170202;140000;10.19;10.3;10.19;10.25;100;0
ЮТэйр ао;60;20170202;150000;10.21;10.24;10.04;10.14;230;0
ЮТэйр ао;60;20170202;160000;10.13;10.13;10;10.08;55;0
ЮТэйр ао;60;20170202;170000;10.07;10.14;10.07;10.14;11;0
ЮТэйр ао;60;20170202;180000;10.06;10.14;10;10;297;0
ЮТэйр ао;60;20170203;100000;10.19;10.2;10.12;10.13;28;0
ЮТэйр ао;60;20170203;110000;10.04;10.11;10;10.11;24;0
ЮТэйр ао;60;20170203;120000;10.1;10.12;10.09;10.12;5;0
ЮТэйр ао;60;20170203;130000;10.11;10.15;10.11;10.15;16;0
ЮТэйр ао;60;20170203;150000;10.14;10.16;10.06;10.16;150;0
ЮТэйр ао;60;20170203;170000;10.13;10.13;10;10;100;0
ЮТэйр ао;60;20170203;180000;10.12;10.12;10;10;174;0
ЮТэйр ао;60;20170206;100000;10.01;10.13;9.98;9.98;237;0
ЮТэйр ао;60;20170206;110000;9.98;9.98;9.98;9.98;10;0
ЮТэйр ао;60;20170206;120000;9.98;9.98;9.94;9.96;15;0
ЮТэйр ао;60;20170206;130000;9.97;9.97;9.96;9.96;2;0
ЮТэйр ао;60;20170206;140000;9.96;9.96;9.93;9.94;13;0
ЮТэйр ао;60;20170206;150000;9.98;10.05;9.98;9.99;118;0
ЮТэйр ао;60;20170206;160000;9.97;9.97;9.97;9.97;8;0
ЮТэйр ао;60;20170206;170000;10.02;10.03;10.02;10.03;5;0
ЮТэйр ао;60;20170206;180000;10.04;10.04;10;10;9;0
ЮТэйр ао;60;20170207;100000;9.98;10.06;9.96;9.96;31;0
ЮТэйр ао;60;20170207;110000;10.02;10.02;10.02;10.02;1;0
ЮТэйр ао;60;20170207;120000;10.01;10.01;10.01;10.01;5;0
ЮТэйр ао;60;20170207;150000;9.99;9.99;9.99;9.99;2;0
ЮТэйр ао;60;20170207;160000;10;10.01;10;10.01;95;0
ЮТэйр ао;60;20170207;170000;10;10.09;9.99;10.09;35;0
ЮТэйр ао;60;20170207;180000;10.09;10.09;10;10;6;0
ЮТэйр ао;60;20170208;100000;10;10;10;10;36;0
ЮТэйр ао;60;20170208;120000;9.99;9.99;9.98;9.98;19;0
ЮТэйр ао;60;20170208;130000;9.97;10.04;9.9;10.04;139;0
ЮТэйр ао;60;20170208;160000;10.01;10.05;10.01;10.05;13;0
ЮТэйр ао;60;20170208;170000;10.05;10.05;10.05;10.05;1;0
ЮТэйр ао;60;20170208;180000;10.05;10.1;10;10.1;345;0
ЮТэйр ао;60;20170209;100000;10.03;10.03;9.6;9.92;132;0
ЮТэйр ао;60;20170209;110000;9.95;9.99;9.91;9.99;163;0
ЮТэйр ао;60;20170209;120000;9.97;10.03;9.91;10.03;40;0
ЮТэйр ао;60;20170209;130000;9.99;9.99;9.86;9.86;126;0
ЮТэйр ао;60;20170209;140000;9.96;9.96;9.92;9.92;57;0
ЮТэйр ао;60;20170209;150000;9.92;9.92;9.92;9.92;2;0
ЮТэйр ао;60;20170209;160000;9.94;9.95;9.94;9.95;7;0
ЮТэйр ао;60;20170209;170000;9.94;9.94;9.94;9.94;1;0
ЮТэйр ао;60;20170209;180000;9.97;10.04;9.97;10.04;37;0
