<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЮУНК ао;60;20170124;100000;4850;4910;4830;4875;34;0
ЮУНК ао;60;20170124;110000;4950;4950;4950;4950;1;0
ЮУНК ао;60;20170124;150000;4905;4905;4880;4880;8;0
ЮУНК ао;60;20170124;160000;4965;4965;4965;4965;1;0
ЮУНК ао;60;20170124;180000;4900;4900;4900;4900;1;0
ЮУНК ао;60;20170125;100000;4665;4890;4650;4700;38;0
ЮУНК ао;60;20170125;110000;4700;4880;4205;4450;97;0
ЮУНК ао;60;20170125;120000;4320;4580;4320;4580;30;0
ЮУНК ао;60;20170125;130000;4575;4765;4575;4675;44;0
ЮУНК ао;60;20170125;140000;4875;4965;4720;4720;38;0
ЮУНК ао;60;20170125;160000;4700;4700;4445;4445;10;0
ЮУНК ао;60;20170125;170000;4490;4500;4405;4405;12;0
ЮУНК ао;60;20170125;180000;4355;4490;4350;4490;13;0
ЮУНК ао;60;20170126;100000;4490;4660;4490;4660;5;0
ЮУНК ао;60;20170126;110000;4485;4810;4480;4735;23;0
ЮУНК ао;60;20170126;120000;4725;4965;4275;4780;78;0
ЮУНК ао;60;20170126;130000;4865;4900;4590;4705;27;0
ЮУНК ао;60;20170126;140000;4795;4795;4695;4695;8;0
ЮУНК ао;60;20170126;150000;4695;4725;4695;4700;5;0
ЮУНК ао;60;20170126;160000;4725;5150;4725;5005;25;0
ЮУНК ао;60;20170126;170000;5005;5005;5005;5005;1;0
ЮУНК ао;60;20170126;180000;4935;5015;4925;5015;5;0
ЮУНК ао;60;20170127;100000;4830;4950;4310;4950;49;0
ЮУНК ао;60;20170127;110000;5020;5040;4815;5040;17;0
ЮУНК ао;60;20170127;120000;5110;5215;4630;4975;83;0
ЮУНК ао;60;20170127;140000;4900;4900;4900;4900;1;0
ЮУНК ао;60;20170127;160000;4955;4955;4955;4955;1;0
ЮУНК ао;60;20170127;170000;4990;5005;4990;5005;3;0
ЮУНК ао;60;20170127;180000;5030;5080;5030;5080;2;0
ЮУНК ао;60;20170130;100000;4960;5060;4955;5060;43;0
ЮУНК ао;60;20170130;110000;5065;5065;5065;5065;1;0
ЮУНК ао;60;20170130;120000;4980;5065;4900;5065;23;0
ЮУНК ао;60;20170130;130000;5075;5140;5000;5000;67;0
ЮУНК ао;60;20170130;140000;5000;5000;4900;4900;145;0
ЮУНК ао;60;20170130;150000;4900;5000;4900;4900;131;0
ЮУНК ао;60;20170130;160000;4880;4880;4700;4700;164;0
ЮУНК ао;60;20170130;170000;4700;4800;4510;4690;239;0
ЮУНК ао;60;20170130;180000;4635;4800;4635;4680;106;0
ЮУНК ао;60;20170131;100000;4660;4660;4660;4660;1;0
ЮУНК ао;60;20170131;110000;4695;4795;4685;4695;39;0
ЮУНК ао;60;20170131;120000;4680;4890;4680;4830;138;0
ЮУНК ао;60;20170131;130000;4830;4830;4650;4690;55;0
ЮУНК ао;60;20170131;140000;4675;4675;4645;4645;8;0
ЮУНК ао;60;20170131;150000;4645;4645;4480;4480;734;0
ЮУНК ао;60;20170131;160000;4525;4780;4450;4570;135;0
ЮУНК ао;60;20170131;170000;4500;4575;4500;4540;27;0
ЮУНК ао;60;20170131;180000;4480;4480;4335;4400;189;0
ЮУНК ао;60;20170201;100000;4380;4380;4210;4380;19;0
ЮУНК ао;60;20170201;110000;4440;4520;4240;4380;94;0
ЮУНК ао;60;20170201;120000;4310;4340;4240;4340;28;0
ЮУНК ао;60;20170201;130000;4280;4330;4210;4330;27;0
ЮУНК ао;60;20170201;140000;4300;4330;4250;4330;5;0
ЮУНК ао;60;20170201;150000;4340;4340;4340;4340;1;0
ЮУНК ао;60;20170201;160000;4330;4340;4280;4340;5;0
ЮУНК ао;60;20170201;170000;4340;4340;4340;4340;1;0
ЮУНК ао;60;20170201;180000;4340;4340;4340;4340;2;0
ЮУНК ао;60;20170202;100000;4290;4290;4190;4220;15;0
ЮУНК ао;60;20170202;110000;4220;4290;4200;4200;37;0
ЮУНК ао;60;20170202;120000;4270;4370;4270;4300;77;0
