<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Юнипро ао;60;20170124;100000;2.929;2.93;2.913;2.925;3332;0
Юнипро ао;60;20170124;110000;2.924;2.924;2.881;2.893;3656;0
Юнипро ао;60;20170124;120000;2.893;2.894;2.831;2.85;8931;0
Юнипро ао;60;20170124;130000;2.85;2.867;2.832;2.843;5939;0
Юнипро ао;60;20170124;140000;2.844;2.85;2.83;2.84;4015;0
Юнипро ао;60;20170124;150000;2.84;2.855;2.838;2.847;2814;0
Юнипро ао;60;20170124;160000;2.847;2.853;2.845;2.849;1590;0
Юнипро ао;60;20170124;170000;2.849;2.853;2.846;2.849;3595;0
Юнипро ао;60;20170124;180000;2.85;2.85;2.845;2.85;2929;0
Юнипро ао;60;20170125;090000;2.869;2.869;2.869;2.869;14;0
Юнипро ао;60;20170125;100000;2.864;2.88;2.861;2.87;2129;0
Юнипро ао;60;20170125;110000;2.87;2.875;2.786;2.798;16363;0
Юнипро ао;60;20170125;120000;2.802;2.808;2.79;2.808;5746;0
Юнипро ао;60;20170125;130000;2.808;2.826;2.803;2.819;5273;0
Юнипро ао;60;20170125;140000;2.819;2.821;2.81;2.817;2174;0
Юнипро ао;60;20170125;150000;2.817;2.829;2.817;2.826;2305;0
Юнипро ао;60;20170125;160000;2.823;2.827;2.812;2.82;5031;0
Юнипро ао;60;20170125;170000;2.818;2.829;2.8;2.819;6548;0
Юнипро ао;60;20170125;180000;2.822;2.83;2.79;2.811;34506;0
Юнипро ао;60;20170126;100000;2.83;2.843;2.785;2.809;33057;0
Юнипро ао;60;20170126;110000;2.805;2.819;2.8;2.807;7127;0
Юнипро ао;60;20170126;120000;2.805;2.819;2.805;2.811;4944;0
Юнипро ао;60;20170126;130000;2.811;2.822;2.801;2.811;7450;0
Юнипро ао;60;20170126;140000;2.811;2.815;2.802;2.815;2915;0
Юнипро ао;60;20170126;150000;2.814;2.841;2.814;2.832;6291;0
Юнипро ао;60;20170126;160000;2.832;2.845;2.832;2.84;4569;0
Юнипро ао;60;20170126;170000;2.838;2.84;2.834;2.837;2913;0
Юнипро ао;60;20170126;180000;2.834;2.868;2.81;2.831;22594;0
Юнипро ао;60;20170127;090000;2.836;2.836;2.836;2.836;20;0
Юнипро ао;60;20170127;100000;2.845;2.859;2.835;2.845;3776;0
Юнипро ао;60;20170127;110000;2.845;2.845;2.808;2.819;28670;0
Юнипро ао;60;20170127;120000;2.819;2.823;2.796;2.809;14359;0
Юнипро ао;60;20170127;130000;2.809;2.831;2.799;2.814;18812;0
Юнипро ао;60;20170127;140000;2.815;2.818;2.807;2.808;3085;0
Юнипро ао;60;20170127;150000;2.807;2.818;2.806;2.815;3861;0
Юнипро ао;60;20170127;160000;2.815;2.828;2.815;2.827;3964;0
Юнипро ао;60;20170127;170000;2.825;2.833;2.8;2.815;16150;0
Юнипро ао;60;20170127;180000;2.814;2.83;2.81;2.83;5822;0
