<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Ютинет.Ру;60;20170124;100000;11.5;11.5;11.5;11.5;4;0
Ютинет.Ру;60;20170124;110000;11.5;11.5;11.5;11.5;1;0
Ютинет.Ру;60;20170124;120000;11.4;11.4;11.4;11.4;2;0
Ютинет.Ру;60;20170124;160000;11.6;12.4;11.6;12;203;0
Ютинет.Ру;60;20170124;170000;11.9;12.9;11.9;12.4;245;0
Ютинет.Ру;60;20170124;180000;12.3;12.3;11.9;12.3;41;0
Ютинет.Ру;60;20170125;100000;12;12;11.9;11.9;3;0
Ютинет.Ру;60;20170125;120000;12;12;11.8;11.8;2;0
Ютинет.Ру;60;20170125;130000;12.1;12.1;12.1;12.1;1;0
Ютинет.Ру;60;20170125;140000;12.1;12.1;12.1;12.1;1;0
Ютинет.Ру;60;20170127;120000;12;12.3;12;12.3;50;0
Ютинет.Ру;60;20170127;140000;12.1;12.1;12.1;12.1;1;0
Ютинет.Ру;60;20170127;160000;12.1;12.1;12.1;12.1;5;0
Ютинет.Ру;60;20170127;180000;12.3;12.3;12.3;12.3;1;0
Ютинет.Ру;60;20170130;110000;11.9;11.9;11.9;11.9;1;0
Ютинет.Ру;60;20170130;120000;12;12.8;12;12.1;144;0
Ютинет.Ру;60;20170130;130000;12.3;12.3;12.3;12.3;1;0
Ютинет.Ру;60;20170130;150000;12.2;12.2;12.2;12.2;1;0
Ютинет.Ру;60;20170130;160000;12.3;12.4;12.1;12.1;6;0
Ютинет.Ру;60;20170130;180000;12.4;12.4;12.4;12.4;1;0
Ютинет.Ру;60;20170131;150000;12.2;12.2;12;12;10;0
Ютинет.Ру;60;20170131;160000;12.2;12.2;12.2;12.2;1;0
Ютинет.Ру;60;20170201;100000;12.3;12.3;12.1;12.1;7;0
Ютинет.Ру;60;20170201;130000;12;12;12;12;4;0
Ютинет.Ру;60;20170201;140000;12.2;14.5;12.2;13.9;752;0
Ютинет.Ру;60;20170201;150000;13.7;13.8;12.1;13;266;0
Ютинет.Ру;60;20170201;160000;13;13;12.8;12.9;12;0
Ютинет.Ру;60;20170201;170000;13;13.1;13;13.1;17;0
Ютинет.Ру;60;20170201;180000;12.9;13;12.7;13;12;0
Ютинет.Ру;60;20170202;110000;13.1;14.1;12.9;14;36;0
Ютинет.Ру;60;20170202;120000;13.5;13.5;13.5;13.5;1;0
Ютинет.Ру;60;20170202;130000;13.2;13.2;12.1;12.5;90;0
Ютинет.Ру;60;20170202;140000;12.9;13.1;12.9;13.1;10;0
Ютинет.Ру;60;20170202;150000;13;13.5;13;13.5;10;0
Ютинет.Ру;60;20170202;180000;13.3;13.3;13.3;13.3;1;0
Ютинет.Ру;60;20170203;110000;12.7;12.8;12.7;12.8;2;0
Ютинет.Ру;60;20170203;130000;12.9;12.9;12.9;12.9;1;0
Ютинет.Ру;60;20170203;140000;12.8;12.8;12;12.7;109;0
Ютинет.Ру;60;20170203;150000;12.1;12.7;12;12.7;7;0
Ютинет.Ру;60;20170203;160000;12.4;12.8;12.4;12.8;10;0
Ютинет.Ру;60;20170203;170000;12.7;13.2;11.8;12.9;111;0
Ютинет.Ру;60;20170203;180000;12.6;13.2;12.2;13;40;0
Ютинет.Ру;60;20170206;110000;12.6;12.6;12.6;12.6;1;0
Ютинет.Ру;60;20170206;120000;12.8;12.8;12.8;12.8;1;0
Ютинет.Ру;60;20170206;140000;12.9;12.9;12.9;12.9;1;0
Ютинет.Ру;60;20170206;180000;13;13;13;13;1;0
Ютинет.Ру;60;20170207;100000;13;13;13;13;7;0
Ютинет.Ру;60;20170207;110000;12.9;12.9;12.4;12.7;61;0
Ютинет.Ру;60;20170207;130000;12.7;12.7;12.7;12.7;18;0
Ютинет.Ру;60;20170207;180000;12.6;12.8;12.6;12.7;3;0
Ютинет.Ру;60;20170208;180000;12.7;12.8;12.7;12.8;2;0
Ютинет.Ру;60;20170209;110000;12.7;12.7;12.7;12.7;1;0
Ютинет.Ру;60;20170209;120000;12.6;12.7;12.4;12.7;29;0
Ютинет.Ру;60;20170210;120000;12.8;12.8;12.8;12.8;1;0
Ютинет.Ру;60;20170210;150000;12.5;12.5;12.4;12.4;33;0
Ютинет.Ру;60;20170210;160000;12.7;12.7;12.7;12.7;1;0
Ютинет.Ру;60;20170213;110000;12.5;12.5;12.5;12.5;1;0
Ютинет.Ру;60;20170213;120000;12.4;12.4;12.4;12.4;4;0
Ютинет.Ру;60;20170213;130000;12.5;12.5;12.4;12.4;3;0
Ютинет.Ру;60;20170213;140000;12.5;12.7;12.5;12.7;50;0
Ютинет.Ру;60;20170214;150000;12.6;12.6;12.6;12.6;9;0
Ютинет.Ру;60;20170214;160000;12.6;17.6;12.6;17.6;7791;0
Ютинет.Ру;60;20170214;170000;17.6;17.6;17.4;17.6;2923;0
Ютинет.Ру;60;20170214;180000;17.6;17.6;17.6;17.6;104;0
Ютинет.Ру;60;20170215;100000;19.7;21.3;16.7;17.1;8072;0
Ютинет.Ру;60;20170215;110000;17.1;19;16.6;17.5;1647;0
Ютинет.Ру;60;20170215;120000;17.4;18.5;17.2;17.3;687;0
Ютинет.Ру;60;20170215;130000;17.4;17.6;16.3;17.1;486;0
Ютинет.Ру;60;20170215;140000;17.2;17.3;16.9;17.3;39;0
Ютинет.Ру;60;20170215;150000;17.1;17.1;16.6;16.7;244;0
Ютинет.Ру;60;20170215;160000;16.9;17.1;16.8;17.1;177;0
Ютинет.Ру;60;20170215;170000;16.8;17.1;16.5;16.7;167;0
Ютинет.Ру;60;20170215;180000;16.7;17.8;16.7;17.8;159;0
Ютинет.Ру;60;20170216;100000;17.8;17.8;13.2;14.7;3070;0
Ютинет.Ру;60;20170216;110000;14.9;16.2;14.2;15.9;1475;0
