<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Якутскэн-п;60;20170124;140000;0.283;0.283;0.282;0.282;9;0
Якутскэн-п;60;20170124;150000;0.284;0.285;0.283;0.285;8;0
Якутскэн-п;60;20170124;180000;0.282;0.282;0.282;0.282;1;0
Якутскэн-п;60;20170125;100000;0.284;0.286;0.283;0.286;3;0
Якутскэн-п;60;20170125;140000;0.287;0.288;0.287;0.288;2;0
Якутскэн-п;60;20170125;150000;0.288;0.288;0.288;0.288;1;0
Якутскэн-п;60;20170125;160000;0.288;0.291;0.288;0.291;70;0
Якутскэн-п;60;20170126;100000;0.288;0.288;0.288;0.288;2;0
Якутскэн-п;60;20170126;110000;0.291;0.304;0.291;0.304;71;0
Якутскэн-п;60;20170126;120000;0.305;0.31;0.302;0.302;157;0
Якутскэн-п;60;20170126;130000;0.301;0.301;0.296;0.296;14;0
Якутскэн-п;60;20170126;140000;0.295;0.297;0.295;0.297;9;0
Якутскэн-п;60;20170126;160000;0.296;0.297;0.296;0.297;2;0
Якутскэн-п;60;20170126;180000;0.294;0.294;0.294;0.294;2;0
Якутскэн-п;60;20170127;100000;0.295;0.314;0.295;0.308;83;0
Якутскэн-п;60;20170127;110000;0.307;0.315;0.305;0.313;100;0
Якутскэн-п;60;20170127;120000;0.312;0.312;0.305;0.305;33;0
Якутскэн-п;60;20170127;130000;0.305;0.305;0.3;0.301;45;0
Якутскэн-п;60;20170127;150000;0.302;0.305;0.302;0.305;34;0
Якутскэн-п;60;20170127;160000;0.305;0.305;0.305;0.305;6;0
Якутскэн-п;60;20170127;170000;0.302;0.307;0.302;0.307;9;0
Якутскэн-п;60;20170127;180000;0.304;0.304;0.304;0.304;1;0
Якутскэн-п;60;20170130;090000;0.308;0.308;0.308;0.308;1;0
Якутскэн-п;60;20170130;100000;0.308;0.31;0.308;0.31;9;0
Якутскэн-п;60;20170130;110000;0.31;0.31;0.31;0.31;32;0
Якутскэн-п;60;20170130;170000;0.306;0.306;0.305;0.305;4;0
Якутскэн-п;60;20170130;180000;0.304;0.304;0.304;0.304;1;0
Якутскэн-п;60;20170131;180000;0.304;0.304;0.304;0.304;2;0
Якутскэн-п;60;20170201;110000;0.304;0.304;0.304;0.304;1;0
Якутскэн-п;60;20170201;120000;0.306;0.306;0.306;0.306;1;0
Якутскэн-п;60;20170201;130000;0.304;0.304;0.304;0.304;1;0
Якутскэн-п;60;20170201;140000;0.303;0.303;0.29;0.29;43;0
Якутскэн-п;60;20170201;160000;0.297;0.298;0.29;0.298;11;0
Якутскэн-п;60;20170201;170000;0.295;0.295;0.295;0.295;3;0
Якутскэн-п;60;20170201;180000;0.294;0.294;0.29;0.29;5;0
Якутскэн-п;60;20170202;100000;0.293;0.297;0.293;0.295;8;0
Якутскэн-п;60;20170202;130000;0.295;0.295;0.295;0.295;2;0
Якутскэн-п;60;20170202;160000;0.295;0.295;0.295;0.295;19;0
Якутскэн-п;60;20170203;100000;0.295;0.295;0.295;0.295;1;0
Якутскэн-п;60;20170203;110000;0.294;0.294;0.294;0.294;1;0
Якутскэн-п;60;20170203;120000;0.293;0.293;0.289;0.289;36;0
Якутскэн-п;60;20170203;150000;0.293;0.293;0.293;0.293;8;0
Якутскэн-п;60;20170203;160000;0.295;0.298;0.295;0.298;7;0
Якутскэн-п;60;20170206;100000;0.295;0.298;0.294;0.298;9;0
Якутскэн-п;60;20170206;110000;0.296;0.299;0.296;0.299;9;0
Якутскэн-п;60;20170206;120000;0.3;0.3;0.3;0.3;1;0
Якутскэн-п;60;20170206;150000;0.297;0.297;0.296;0.296;10;0
Якутскэн-п;60;20170207;100000;0.298;0.299;0.298;0.299;15;0
Якутскэн-п;60;20170207;160000;0.3;0.3;0.296;0.296;3;0
Якутскэн-п;60;20170208;150000;0.3;0.3;0.3;0.3;1;0
Якутскэн-п;60;20170209;100000;0.297;0.297;0.297;0.297;1;0
Якутскэн-п;60;20170209;130000;0.296;0.296;0.296;0.296;1;0
Якутскэн-п;60;20170210;110000;0.297;0.297;0.297;0.297;1;0
Якутскэн-п;60;20170210;120000;0.297;0.297;0.297;0.297;130;0
Якутскэн-п;60;20170210;130000;0.297;0.297;0.29;0.29;20;0
Якутскэн-п;60;20170210;150000;0.292;0.292;0.29;0.29;7;0
Якутскэн-п;60;20170213;110000;0.293;0.293;0.29;0.29;5;0
Якутскэн-п;60;20170213;120000;0.29;0.29;0.288;0.288;7;0
Якутскэн-п;60;20170213;170000;0.293;0.293;0.289;0.289;2;0
Якутскэн-п;60;20170214;100000;0.29;0.29;0.29;0.29;6;0
Якутскэн-п;60;20170214;110000;0.289;0.289;0.289;0.289;1;0
Якутскэн-п;60;20170214;140000;0.289;0.289;0.287;0.287;4;0
Якутскэн-п;60;20170215;120000;0.29;0.29;0.29;0.29;1;0
Якутскэн-п;60;20170215;130000;0.288;0.288;0.281;0.287;24;0
Якутскэн-п;60;20170215;140000;0.284;0.284;0.284;0.284;10;0
Якутскэн-п;60;20170215;160000;0.288;0.29;0.288;0.29;20;0
Якутскэн-п;60;20170215;170000;0.29;0.29;0.29;0.29;3;0
Якутскэн-п;60;20170215;180000;0.29;0.29;0.285;0.285;4;0
