<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Якутскэнрг;60;20170124;100000;0.298;0.298;0.298;0.298;1;0
Якутскэнрг;60;20170124;120000;0.297;0.3;0.297;0.3;2;0
Якутскэнрг;60;20170124;130000;0.3;0.301;0.3;0.301;5;0
Якутскэнрг;60;20170124;140000;0.297;0.297;0.297;0.297;5;0
Якутскэнрг;60;20170124;150000;0.297;0.297;0.296;0.296;3;0
Якутскэнрг;60;20170124;160000;0.299;0.3;0.299;0.3;5;0
Якутскэнрг;60;20170124;180000;0.3;0.301;0.296;0.296;9;0
Якутскэнрг;60;20170125;090000;0.28;0.28;0.28;0.28;13;0
Якутскэнрг;60;20170125;100000;0.296;0.298;0.296;0.298;4;0
Якутскэнрг;60;20170125;120000;0.295;0.295;0.295;0.295;7;0
Якутскэнрг;60;20170125;130000;0.296;0.296;0.296;0.296;95;0
Якутскэнрг;60;20170125;140000;0.295;0.296;0.295;0.296;90;0
Якутскэнрг;60;20170125;150000;0.297;0.297;0.297;0.297;10;0
Якутскэнрг;60;20170125;160000;0.298;0.298;0.298;0.298;2;0
Якутскэнрг;60;20170125;180000;0.296;0.296;0.293;0.293;8;0
Якутскэнрг;60;20170126;100000;0.293;0.296;0.293;0.296;2;0
Якутскэнрг;60;20170126;120000;0.293;0.296;0.29;0.296;58;0
Якутскэнрг;60;20170126;130000;0.297;0.297;0.293;0.293;6;0
Якутскэнрг;60;20170126;140000;0.293;0.293;0.293;0.293;5;0
Якутскэнрг;60;20170126;150000;0.293;0.293;0.293;0.293;3;0
Якутскэнрг;60;20170126;160000;0.293;0.296;0.293;0.296;14;0
Якутскэнрг;60;20170126;180000;0.293;0.293;0.289;0.289;26;0
Якутскэнрг;60;20170127;100000;0.289;0.3;0.289;0.297;115;0
Якутскэнрг;60;20170127;110000;0.296;0.304;0.296;0.304;35;0
Якутскэнрг;60;20170127;120000;0.302;0.304;0.3;0.304;12;0
Якутскэнрг;60;20170127;130000;0.301;0.301;0.301;0.301;1;0
Якутскэнрг;60;20170127;150000;0.302;0.306;0.301;0.301;42;0
Якутскэнрг;60;20170127;160000;0.301;0.304;0.301;0.304;2;0
Якутскэнрг;60;20170127;170000;0.305;0.307;0.305;0.307;10;0
Якутскэнрг;60;20170127;180000;0.306;0.306;0.301;0.305;10;0
Якутскэнрг;60;20170130;100000;0.305;0.305;0.305;0.305;11;0
Якутскэнрг;60;20170130;140000;0.303;0.303;0.302;0.302;2;0
Якутскэнрг;60;20170130;150000;0.305;0.305;0.305;0.305;2;0
Якутскэнрг;60;20170130;160000;0.302;0.306;0.302;0.303;7;0
Якутскэнрг;60;20170130;170000;0.302;0.302;0.302;0.302;2;0
Якутскэнрг;60;20170130;180000;0.305;0.305;0.301;0.305;13;0
Якутскэнрг;60;20170131;100000;0.302;0.302;0.302;0.302;1;0
Якутскэнрг;60;20170131;110000;0.301;0.302;0.301;0.302;2;0
Якутскэнрг;60;20170131;140000;0.301;0.301;0.3;0.3;5;0
Якутскэнрг;60;20170131;150000;0.301;0.302;0.301;0.302;4;0
Якутскэнрг;60;20170131;160000;0.299;0.299;0.298;0.298;5;0
Якутскэнрг;60;20170201;100000;0.3;0.3;0.3;0.3;1;0
Якутскэнрг;60;20170201;130000;0.298;0.298;0.297;0.297;2;0
Якутскэнрг;60;20170201;140000;0.299;0.299;0.299;0.299;2;0
Якутскэнрг;60;20170201;150000;0.297;0.297;0.296;0.296;5;0
Якутскэнрг;60;20170201;160000;0.298;0.299;0.298;0.299;3;0
Якутскэнрг;60;20170202;130000;0.299;0.299;0.299;0.299;3;0
Якутскэнрг;60;20170202;150000;0.298;0.302;0.298;0.302;21;0
Якутскэнрг;60;20170202;160000;0.303;0.307;0.29;0.3;67;0
Якутскэнрг;60;20170202;170000;0.3;0.3;0.3;0.3;1;0
Якутскэнрг;60;20170202;180000;0.3;0.3;0.298;0.298;7;0
Якутскэнрг;60;20170203;100000;0.297;0.297;0.29;0.294;15;0
Якутскэнрг;60;20170203;110000;0.293;0.294;0.289;0.294;19;0
Якутскэнрг;60;20170203;120000;0.295;0.296;0.293;0.293;27;0
Якутскэнрг;60;20170203;130000;0.296;0.298;0.294;0.294;42;0
Якутскэнрг;60;20170203;140000;0.298;0.299;0.298;0.299;12;0
Якутскэнрг;60;20170203;150000;0.3;0.305;0.3;0.301;14;0
Якутскэнрг;60;20170203;160000;0.301;0.303;0.3;0.3;9;0
Якутскэнрг;60;20170203;170000;0.3;0.3;0.3;0.3;1;0
Якутскэнрг;60;20170203;180000;0.302;0.302;0.302;0.302;2;0
Якутскэнрг;60;20170206;100000;0.3;0.3;0.3;0.3;3;0
Якутскэнрг;60;20170206;120000;0.301;0.302;0.3;0.3;6;0
Якутскэнрг;60;20170206;170000;0.301;0.304;0.301;0.303;23;0
Якутскэнрг;60;20170206;180000;0.303;0.303;0.299;0.299;2;0
Якутскэнрг;60;20170207;090000;0.303;0.303;0.303;0.303;1;0
Якутскэнрг;60;20170207;100000;0.302;0.302;0.299;0.299;7;0
Якутскэнрг;60;20170207;150000;0.3;0.3;0.3;0.3;1;0
Якутскэнрг;60;20170207;160000;0.299;0.299;0.298;0.298;7;0
Якутскэнрг;60;20170207;170000;0.299;0.299;0.299;0.299;2;0
Якутскэнрг;60;20170207;180000;0.297;0.297;0.297;0.297;2;0
Якутскэнрг;60;20170208;100000;0.299;0.3;0.299;0.3;2;0
Якутскэнрг;60;20170208;110000;0.298;0.298;0.298;0.298;2;0
Якутскэнрг;60;20170208;130000;0.298;0.298;0.298;0.298;1;0
Якутскэнрг;60;20170208;140000;0.297;0.299;0.297;0.299;2;0
Якутскэнрг;60;20170208;170000;0.296;0.298;0.293;0.298;9;0
Якутскэнрг;60;20170208;180000;0.297;0.297;0.297;0.297;1;0
Якутскэнрг;60;20170209;140000;0.296;0.296;0.296;0.296;1;0
Якутскэнрг;60;20170209;150000;0.298;0.3;0.298;0.3;43;0
Якутскэнрг;60;20170209;160000;0.296;0.296;0.296;0.296;3;0
Якутскэнрг;60;20170210;100000;0.297;0.297;0.297;0.297;1;0
Якутскэнрг;60;20170210;120000;0.296;0.296;0.296;0.296;3;0
Якутскэнрг;60;20170210;130000;0.296;0.305;0.293;0.299;80;0
Якутскэнрг;60;20170210;140000;0.301;0.306;0.3;0.3;115;0
Якутскэнрг;60;20170210;180000;0.298;0.298;0.298;0.298;1;0
Якутскэнрг;60;20170213;110000;0.3;0.301;0.297;0.301;16;0
Якутскэнрг;60;20170213;120000;0.301;0.304;0.301;0.303;11;0
Якутскэнрг;60;20170213;130000;0.3;0.3;0.298;0.298;7;0
Якутскэнрг;60;20170213;140000;0.298;0.301;0.298;0.301;4;0
Якутскэнрг;60;20170213;150000;0.299;0.299;0.299;0.299;1;0
Якутскэнрг;60;20170213;160000;0.299;0.299;0.295;0.298;30;0
Якутскэнрг;60;20170213;170000;0.297;0.297;0.294;0.295;21;0
Якутскэнрг;60;20170213;180000;0.294;0.294;0.292;0.292;12;0
Якутскэнрг;60;20170214;100000;0.291;0.294;0.291;0.294;6;0
Якутскэнрг;60;20170214;110000;0.293;0.293;0.293;0.293;1;0
Якутскэнрг;60;20170214;140000;0.292;0.292;0.291;0.291;3;0
Якутскэнрг;60;20170214;150000;0.291;0.291;0.291;0.291;5;0
Якутскэнрг;60;20170214;160000;0.292;0.292;0.292;0.292;1;0
Якутскэнрг;60;20170214;170000;0.291;0.291;0.29;0.29;19;0
Якутскэнрг;60;20170214;180000;0.292;0.292;0.292;0.292;2;0
Якутскэнрг;60;20170215;100000;0.289;0.293;0.287;0.289;25;0
Якутскэнрг;60;20170215;110000;0.292;0.296;0.289;0.292;16;0
Якутскэнрг;60;20170215;120000;0.293;0.293;0.293;0.293;1;0
Якутскэнрг;60;20170215;130000;0.292;0.292;0.292;0.292;5;0
Якутскэнрг;60;20170215;160000;0.294;0.294;0.294;0.294;2;0
Якутскэнрг;60;20170215;170000;0.294;0.294;0.294;0.294;5;0
Якутскэнрг;60;20170216;100000;0.29;0.3;0.29;0.3;39;0
Якутскэнрг;60;20170216;110000;0.301;0.302;0.297;0.297;9;0
Якутскэнрг;60;20170216;120000;0.296;0.296;0.29;0.29;26;0
Якутскэнрг;60;20170216;140000;0.296;0.3;0.296;0.3;20;0
Якутскэнрг;60;20170216;150000;0.301;0.301;0.3;0.3;83;0
Якутскэнрг;60;20170216;170000;0.3;0.302;0.3;0.3;37;0
Якутскэнрг;60;20170216;180000;0.3;0.3;0.3;0.3;14;0
Якутскэнрг;60;20170217;110000;0.298;0.298;0.29;0.294;55;0
Якутскэнрг;60;20170217;120000;0.294;0.294;0.292;0.292;12;0
Якутскэнрг;60;20170217;130000;0.292;0.292;0.29;0.29;20;0
Якутскэнрг;60;20170217;140000;0.293;0.294;0.291;0.291;6;0
Якутскэнрг;60;20170217;150000;0.291;0.291;0.291;0.291;9;0
Якутскэнрг;60;20170217;160000;0.294;0.295;0.294;0.295;26;0
Якутскэнрг;60;20170217;180000;0.291;0.293;0.29;0.293;7;0
Якутскэнрг;60;20170220;100000;0.292;0.292;0.292;0.292;1;0
Якутскэнрг;60;20170220;150000;0.293;0.295;0.293;0.295;4;0
Якутскэнрг;60;20170220;170000;0.295;0.305;0.291;0.298;115;0
Якутскэнрг;60;20170220;180000;0.297;0.297;0.283;0.294;62;0
Якутскэнрг;60;20170221;110000;0.295;0.295;0.295;0.295;2;0
Якутскэнрг;60;20170221;180000;0.292;0.292;0.292;0.292;1;0
Якутскэнрг;60;20170222;100000;0.292;0.292;0.292;0.292;1;0
Якутскэнрг;60;20170222;170000;0.291;0.291;0.29;0.29;3;0
Якутскэнрг;60;20170222;180000;0.29;0.292;0.289;0.289;5;0
Якутскэнрг;60;20170224;100000;0.288;0.289;0.284;0.289;13;0
Якутскэнрг;60;20170224;160000;0.287;0.287;0.287;0.287;2;0
Якутскэнрг;60;20170224;180000;0.287;0.287;0.287;0.287;1;0
Якутскэнрг;60;20170227;100000;0.287;0.287;0.287;0.287;1;0
Якутскэнрг;60;20170227;110000;0.286;0.286;0.286;0.286;8;0
Якутскэнрг;60;20170227;120000;0.286;0.286;0.286;0.286;1;0
Якутскэнрг;60;20170227;160000;0.287;0.287;0.287;0.287;6;0
Якутскэнрг;60;20170227;170000;0.287;0.287;0.287;0.287;7;0
Якутскэнрг;60;20170227;180000;0.287;0.287;0.287;0.287;4;0
Якутскэнрг;60;20170228;100000;0.285;0.285;0.24;0.279;81;0
Якутскэнрг;60;20170228;110000;0.275;0.279;0.275;0.275;16;0
Якутскэнрг;60;20170228;130000;0.279;0.279;0.276;0.276;2;0
Якутскэнрг;60;20170228;150000;0.275;0.275;0.27;0.274;63;0
Якутскэнрг;60;20170228;160000;0.274;0.276;0.273;0.276;7;0
Якутскэнрг;60;20170228;170000;0.276;0.276;0.276;0.276;1;0
Якутскэнрг;60;20170228;180000;0.273;0.273;0.27;0.273;9;0
Якутскэнрг;60;20170301;110000;0.278;0.278;0.278;0.278;5;0
Якутскэнрг;60;20170301;120000;0.278;0.278;0.278;0.278;8;0
Якутскэнрг;60;20170301;130000;0.289;0.291;0.289;0.291;2;0
Якутскэнрг;60;20170301;140000;0.287;0.287;0.286;0.286;2;0
Якутскэнрг;60;20170301;160000;0.286;0.286;0.286;0.286;9;0
Якутскэнрг;60;20170301;170000;0.286;0.288;0.286;0.288;6;0
Якутскэнрг;60;20170301;180000;0.286;0.286;0.28;0.28;12;0
Якутскэнрг;60;20170302;100000;0.28;0.286;0.28;0.286;9;0
Якутскэнрг;60;20170302;110000;0.282;0.282;0.276;0.276;4;0
Якутскэнрг;60;20170302;150000;0.283;0.283;0.283;0.283;3;0
Якутскэнрг;60;20170302;170000;0.281;0.284;0.28;0.284;12;0
Якутскэнрг;60;20170302;180000;0.285;0.285;0.28;0.283;11;0
Якутскэнрг;60;20170303;120000;0.28;0.283;0.28;0.283;2;0
Якутскэнрг;60;20170303;180000;0.284;0.284;0.284;0.284;4;0
Якутскэнрг;60;20170306;100000;0.28;0.28;0.28;0.28;1;0
Якутскэнрг;60;20170306;130000;0.28;0.28;0.28;0.28;9;0
Якутскэнрг;60;20170306;140000;0.28;0.28;0.28;0.28;2;0
Якутскэнрг;60;20170306;160000;0.279;0.279;0.279;0.279;6;0
Якутскэнрг;60;20170306;180000;0.281;0.281;0.281;0.281;4;0
Якутскэнрг;60;20170307;110000;0.279;0.279;0.279;0.279;15;0
Якутскэнрг;60;20170307;120000;0.279;0.283;0.278;0.278;31;0
Якутскэнрг;60;20170307;150000;0.278;0.278;0.278;0.278;7;0
Якутскэнрг;60;20170307;170000;0.277;0.277;0.275;0.275;3;0
